LIT,Unit_Name,Subunit_Name,Action,Action_yn
CLS,T10,T10:3,,
CLS,T13A,T13A,,
CLS,T15,T15:1,,
CLS,T15,T15:2,,
CLS,T15,T15:3,,
CLS,T15,T15:4,,
CLS,T17,T17,,
CLS,T24,T24:4,,
CLS,T24,T24:5,,
CLS,T27,T27.3,,
CLS,T5,T5,,
CLS,T6,T6:1,,
CLS,T6,T6:2,,
CLS,T6,T6:3,,
CLS,T6,T6:4,,
CLS,T6A,T6A,,
KRN,4A,4A-5,disced 2016,Y
KRN,4A,4A-2,disced 2017 and 2018,Y
KRN,4B,4B-1,disced 2017 and 2018,Y
KRN,5B,5B-7,disced 2017 and 2018,Y
KRN,4A,4A-3,disced 2018,Y
KRN,14,14E-2,,N
KRN,14,14E-1,,N
KRN,14,14A-1,,N
KRN,14,14A-2,,N
KRN,14,14B-1,,N
KRN,14,14B-2,,N
KRN,14,14C-1,,N
KRN,14,14C-2,,N
KRN,14,14D-1,,N
KRN,14,14D-2,,N
KRN,14,14-F,,N
KRN,14,14G-1,,N
KRN,14,14G-2,,N
KRN,4A,4A-1,,N
KRN,4A,4A-6,,N
KRN,4A,4A-7,,N
KRN,4B,4B-2,,N
KRN,4B,4B-4,,N
KRN,5A,5A-1,,N
KRN,5A,5A-3,,N
KRN,5A,5A-4,,N
KRN,5A,5A-5,,N
KRN,5A,5A-7,,N
KRN,5B,5B-1,,N
KRN,5B,5B-2,,N
KRN,5B,5B-3,,N
KRN,5B,5B-5,,N
KRN,5B,5B-6,,N
KRN,6A,6A-1,,N
KRN,6A,6A-2,,N
KRN,6A,6A-4,,N
KRN,6A,6A-5,,N
PIX,2A,2A,disced 2016,Y
PIX,2,2,graded 2016,Y
PIX,3,3,graded 2016,Y
PIX,4,4,graded 2016,Y
PIX,3A,3A,graded 2016,Y
PIX,4A,4A,graded 2016,Y
PIX,7A,7A,graded 2016,Y
PIX,7B,7B,graded 2016,Y
PIX,8A,8A,graded 2016,Y
PIX,8B,8B,graded 2016,Y
PIX,9A,9A,graded 2016,Y
PIX,9B,9B,graded 2016,Y
PIX,1,1,,N
PIX,6,6,,N
SAC,P1A,P1A:1,,
SAC,P7A,P7A:4,,
SAC,P8,P8:1,,
SAC,T10,T10:3,,
SAC,T14,T14:1,,
SAC,T14,T14:2,,
SAC,T35,T35:1,,
SAC,T36,T36:1,,
SAC,T36,T36:2,,
SLW,Lewis 1,22,,
SLW,Lewis 6,22,,
SLW,LIC,57,,
SLW,HQ-7,27a,,
SLW,Beach Lake 1,Beach Lake 1,,
SLW,Beach Lake 3,Beach Lake 3,,
