LIT,diff.name,mean.a,mean.b,mean.diff,var.a,var.b,sd.diff,tcalc,approx_p_value
KRN,KRN_4A_4A-2 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-3 vs. KRN_4A_4A-1,0.04523296717706066,0,0.04523296717706066,0.0031374760968137035,0,0.05601317788533073,0.8075415265611399,0.20967728
KRN,KRN_4A_4A-4 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-5 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_4A_4A-6 vs. KRN_4A_4A-1,0.5774638545004589,0,0.5774638545004589,1.0294870182899194,0,1.0146363970851426,0.5691337864080204,0.284632676
KRN,KRN_4A_4A-7 vs. KRN_4A_4A-1,0.13720366947589255,0,0.13720366947589255,0.004333775112482005,0,0.06583141432843445,2.0841671240933737,0.018572484
KRN,KRN_4B_4B-2 vs. KRN_4A_4A-1,2.1805437291939245,0,2.1805437291939245,1.3156449630539029,0,1.1470156768997986,1.9010583491653648,0.028647185
KRN,KRN_4B_4B-3 vs. KRN_4A_4A-1,0.012952204392866519,0,0.012952204392866519,0.0020227035480364112,0,0.0449744766288215,0.28799010825100324,0.386677155
KRN,KRN_4B_4B-4 vs. KRN_4A_4A-1,0.3483624395444553,0,0.3483624395444553,0.3663391008088547,0,0.6052595317786038,0.5755587830575163,0.282456724
KRN,KRN_5A_5A-1 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-4 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-5 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-6 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5A_5A-7 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-1 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-2 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-7 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_5B_5B-8 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-1 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-2 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-3 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-4 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
KRN,KRN_6A_6A-5 vs. KRN_4A_4A-1,0,0,0,0,0,0,NA,NA
