SubUnit,y.flooded.15,y.flooded.5,y20167,y20178,y20189,Viability
14A-1,9,3,Flooded,Flooded,Flooded,Poor
14A-2,9,3,Flooded,Flooded,Flooded,Poor
14B-1,10,3,Flooded,Flooded,Flooded,Fair
14B-2,10,3,Flooded,Flooded,Flooded,Poor
14C-1,9,2,Not Flooded,Flooded,Flooded,Poor
14C-2,9,2,Not Flooded,Flooded,Flooded,Fair
14D-1,9,2,Not Flooded,Flooded,Flooded,Poor
14D-2,9,2,Not Flooded,Flooded,Flooded,
14E-1,9,2,Not Flooded,Flooded,Flooded,Poor
,,,,,,
14F-1,8,2,Not Flooded,Flooded,Flooded,
14F-2,8,2,Not Flooded,Flooded,Flooded,
14G-1,4,1,Not Flooded,Flooded,Not Flooded,Poor
14G-2,4,1,Not Flooded,Flooded,Not Flooded,Poor
4A-1,15,5,Flooded,Flooded,Flooded,Fair
4A-2,15,5,Flooded,Flooded,Flooded,Very Good
4A-3,14,5,Flooded,Flooded,Flooded,Fair
4A-4,14,5,Flooded,Flooded,Flooded,
4A-5,14,4,Flooded,Flooded,Flooded,Good
4A-6,15,5,Flooded,Flooded,Flooded,Poor
4A-7,15,5,Flooded,Flooded,Flooded,Poor
4B-1,15,5,Flooded,Flooded,Flooded,Fair
4B-2,14,5,Flooded,Flooded,Flooded,Fair
4B-3,14,5,Flooded,Flooded,Flooded,
4B-4,15,5,Flooded,Flooded,Flooded,Fair
5A-1,14,4,Flooded,Flooded,Flooded,Fair
5A-3,12,5,Flooded,Flooded,Flooded,Fair
5A-4,12,5,Flooded,Flooded,Flooded,Fair
5A-5,13,5,Flooded,Flooded,Flooded,Fair
5A-6,14,4,Flooded,Flooded,Flooded,
5A-7,14,4,Flooded,Flooded,Flooded,Fair
5B-1,12,3,Flooded,Flooded,Flooded,Good
5B-2,12,3,Flooded,Flooded,Flooded,Fair
5B-3,11,3,Flooded,Flooded,Flooded,Fair
5B-5,11,3,Flooded,Flooded,Flooded,Fair
5B-6,12,3,Flooded,Flooded,Flooded,Fair
5B-7,13,3,Flooded,Flooded,Flooded,Good
5B-8,13,3,Flooded,Flooded,Flooded,
6A-1,11,3,Flooded,Flooded,Flooded,Fair
6A-2,12,3,Flooded,Flooded,Flooded,Poor
6A-3,12,3,Flooded,Flooded,Flooded,
6A-4,12,3,Flooded,Flooded,Flooded,Fair
6A-5,11,3,Flooded,Flooded,Flooded,Fair
