"","unitName","subunitName","subunit_ID","st_g_m2_a.Low","st_g_m2_b.Med","st_g_m2_c.High","wg_g_m2_a.Low","wg_g_m2_b.Med","wg_g_m2_c.High","sw_g_m2_a.Low","sw_g_m2_b.Med","sw_g_m2_c.High","LIT","wg_g_m2","st_g_m2","sw_g_m2","stwg_g_m2","tot_g_m2","area_ha","tot_mass_m2_var","CI80lwr","CI80upr","stwg_mass_m2_var","CI80lwr_stwg","CI80upr_stwg","st_mass_m2_var","CI80lwr_st","CI80upr_st","wg_mass_m2_var","CI80lwr_wg","CI80upr_wg","sw_mass_m2_var","CI80lwr_sw","CI80upr_sw"
"1","4A","4A-1","KRN_4A_4A-1",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,140.631903596054,0,140.631903596054,140.631903596054,19.4680474315742,5251.11001883687,47.7648548323806,233.498952359728,5251.11001883687,47.7648548323806,233.498952359728,5251.11001883687,47.7648548323806,233.498952359728,0,0,0,0,0,0
"2","4A","4A-2","KRN_4A_4A-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,151.60901411407,0,151.60901411407,151.60901411407,17.4548206776837,3465.30710461686,76.168098628774,227.049929599367,3465.30710461686,76.168098628774,227.049929599367,3465.30710461686,76.168098628774,227.049929599367,0,0,0,0,0,0
"3","4A","4A-3","KRN_4A_4A-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.04522284213361,163.406322010137,0,163.45154485227,163.45154485227,7.95187543603172,2463.53656817837,99.8429807247715,227.060108979769,2463.53656817837,99.8429807247715,227.060108979769,2463.53310313294,99.7978026164252,227.014841403848,0.00346504542461175,-0.0302152248665079,0.120660909133728,0,0,0
"4","4A","4A-4","KRN_4A_4A-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,133.565217273259,0,133.565217273259,133.565217273259,20.6063972413996,6518.9399973048,30.0928042083743,237.037630338145,6518.9399973048,30.0928042083743,237.037630338145,6518.9399973048,30.0928042083743,237.037630338145,0,0,0,0,0,0
"5","4A","4A-5","KRN_4A_4A-5",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0,238.662407928106,0,238.662407928106,238.662407928106,18.098362659877,3805.45709533358,159.605558943807,317.719256912405,3805.45709533358,159.605558943807,317.719256912405,3805.45709533358,159.605558943807,317.719256912405,0,0,0,0,0,0
"6","4A","4A-6","KRN_4A_4A-6",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.577441939525232,12.6006480135437,0,13.1780899530689,13.1780899530689,25.4303885034369,18.6389136789571,7.64527195926999,18.7109079468678,18.6389136789571,7.64527195926999,18.7109079468678,17.5428320369293,7.23297640410973,17.9683196229776,1.09608164202783,-0.764264602823692,1.91914848187416,0,0,0
"7","4A","4A-7","KRN_4A_4A-7",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.137226709269646,199.260912591599,0,199.398139300868,199.398139300868,18.5903513704351,1907.86711971843,143.421071273585,255.375207328152,1907.86711971843,143.421071273585,255.375207328152,1907.86243903171,143.283913230334,255.237911952863,0.00468068671910154,0.0495486612029612,0.224904757336331,0,0,0
"8","4B","4B-2","KRN_4B_4B-2",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",2.18077665736247,32.9897045051994,0,35.1704811625619,35.1704811625619,17.6659138828996,297.39155013288,13.0700677451621,57.2708945799617,297.39155013288,13.0700677451621,57.2708945799617,295.993241559336,10.9413093936655,55.0380996167334,1.39830857354373,0.665340672019353,3.69621264270558,0,0,0
"9","4B","4B-3","KRN_4B_4B-3",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.0120478360062638,129.706744666434,0,129.71879250244,129.71879250244,18.9739258293855,8586.21246077851,10.9678949537345,248.469690051146,8586.21246077851,10.9678949537345,248.469690051146,8586.21089378608,10.9558579538079,248.45763137906,0.0015669924237459,-0.0386827096786967,0.0627783816912244,0,0,0
"10","4B","4B-4","KRN_4B_4B-4",26.147784483847,102.23688088581,341.694154187541,5.66765781573164,10.1370790074825,8.24237572703915,0,20.7039335646754,45.7512909097888,"KRN",0.347856776422576,116.570046250875,0,116.917903027297,116.917903027297,8.60026403060099,1615.66809929865,65.4054584176514,168.430347636943,1615.66809929865,65.4054584176514,168.430347636943,1615.29017642817,65.0636266625509,168.076465839199,0.377922870478723,-0.439982581171491,1.13569613401664,0,0,0
