"","subunit_ID","p_wg_a.Low","p_wg_b.Med","p_wg_c.High","p_st_a.Low","p_st_b.Med","p_st_c.High","p_noFood"
"1","CLS_T10_T10:3",0.283923111083073,0.0551430216055708,0,0,0.130053469333777,0.177731936373309,0.353148461604269
"2","CLS_T13A_T13A",0,0,0,0.0525869552503554,0.202040215572961,0.679772130772503,0.0656006984041806
"3","CLS_T15_T15:1",0.000870350805440666,0,0,0.093656034849804,0.306747919546684,0.43770145679508,0.161024238002991
"4","CLS_T15_T15:2",0,0,0,0,0,0,1
"5","CLS_T15_T15:3",0,0,0,0,0,0,1
"6","CLS_T15_T15:4",0,0,0,0,0,0,1
"7","CLS_T17_T17",0,0,0.000337619660203215,0.128525410610307,0.307882424521751,0.422837353208712,0.140417191999027
"8","CLS_T24_T24:4",0.115917643594566,0.306262356326253,0.299676325723617,0,0,0.00172597596632836,0.276417698389237
"9","CLS_T24_T24:5",0.0980719953098891,0.202773378628493,0.344983742265353,0,0,0,0.354170883796265
"10","CLS_T27_T27.3",0,0,0,0,0,0,1
"11","CLS_T5_T5",0,0,0,0,0,0,1
"12","CLS_T6_T6:1",0.123046083290038,0.23031413011655,0.520306937752054,0,0.00761418202018585,0.000506779816562363,0.11821188700461
"13","CLS_T6_T6:2",0.162831018217125,0.450667407062607,0.247548409791304,0,0,0,0.138953164928965
"14","CLS_T6_T6:3",0.156135552854298,0.458958320310365,0.216460081139931,0,0.00115928829660085,0.000921656404385732,0.16636510099442
"15","CLS_T6_T6:4",0.160304418672636,0.403020384717799,0.351745848404545,0,0,0,0.08492934820502
"16","CLS_T6A_T6A",0,0,0,0,0,0,1
"17","KRN_14_14-F",0,0,0,0.140686993676295,0.0284046135751072,0,0.830908392748598
"18","KRN_14_14A-1",0,0,0,0.0339115345244801,0,0,0.96608846547552
"19","KRN_14_14A-2",0,0,0,0.0329983997567961,0,0,0.967001600243204
"20","KRN_14_14B-1",0,0,0,0.536617714373271,0.102452681870886,0,0.360929603755844
"21","KRN_14_14B-2",0,0,0,0.293071317985573,0.0173241151666811,0,0.689604566847746
"22","KRN_14_14C-1",0,0,0,0.147429396398198,0.145710174117934,0.0514201130925949,0.655440316391273
"23","KRN_14_14C-2",0,0,0,0.221552499340254,0.294714799860843,0.167863663235669,0.315869037563234
"24","KRN_14_14D-1",0,0,0,0.144108613804431,0.0256685590634381,0,0.830222827132131
"25","KRN_14_14D-2",0,0,0,0.0304749528452158,0,0,0.969525047154784
"26","KRN_14_14E-1",0,0,0,0.0841438609271368,0.00657773515225079,0,0.909278403920612
"27","KRN_14_14E-2",0,0,0,0,0,0,1
"28","KRN_14_14G-1",0,0,0,0.513947411265478,0.227194424682538,0.0410369003460053,0.217821263705978
"29","KRN_14_14G-2",0,0,0,0.115605943573145,0.023198036919795,0,0.86119601950706
"30","KRN_4A_4A-1",0.00213121615074316,0,0,0.341475135397027,0.00146521110363593,0.00173161312247882,0.653196824226115
"31","KRN_4A_4A-2",0.174130754295034,0,0,0.0964171371609955,0.369908092630138,0.227403795294174,0.132140220619658
"32","KRN_4A_4A-3",0,0,0,0.15317259620665,0.280077383214762,0.324658374038429,0.242091646540159
"33","KRN_4A_4A-5",0,0,0,0.204801612531106,0.283877766448901,0.402124900237309,0.109195720782684
"34","KRN_4A_4A-6",0,0,0,0.167038849652539,0.191538969361106,0.096140896200863,0.545281284785492
"35","KRN_4A_4A-7",0,0,0,0.420719979512906,0.0743520561493911,0.00113894474784149,0.503789019589862
"36","KRN_4B_4B-1",0,0,0,0.19644926959952,0.343135254559071,0.1470410579996,0.313374417841809
"37","KRN_4B_4B-2",0,0.00242872077540429,0.00265025949478238,0.443647570314311,0.0707304356728828,0,0.48054301374262
"38","KRN_4B_4B-4",0,0,0,0.428111692772517,0.0337484079706512,0,0.538139899256831
