OBJECTID,LIT,Date,Observer,Unit_Name,Subunit_Name,VantagePolygonID,ProportionVisible,Timothy_Low,Timothy_Med,Timothy_High,Watergrass_Low,Watergrass_Med,Watergrass_High,NoFoodCover,AreaVisible,Comments,Shape_Length,Shape_Area
1,SLW,2019-07-10 15:25, KMO,Lewis 6,22,VP48,0.333521843,0.000,0.000,0.000,0.050,0.025,0.100,0.000,19.53792191,VP1,1528.706557,128995.967
2,SLW,2019-07-10 18:17, KE,Lewis 6,22,VP49,0.110612176,0.025,0.050,0.050,0.050,0.050,0.025,0.000,6.479731083,VP2,887.438684,42781.67441
3,SLW,2019-07-10 20:46, KE,Lewis 6,22,VP50,0.084435932,0.010,0.010,0.010,0.150,0.350,0.200,0.000,4.946310043,VP3,804.2345356,32659.32818
4,SAC,2019-07-16 19:25,KMO,T14,T14:2,VP52,0.211295038,0.000,0.000,0.000,0.025,0.250,0.550,0.000,7.612926006,,1099.8746,51698.52433
5,SAC,2019-07-16 19:55,KMO,T14,T14:2,VP53,0.097488143,0.000,0.000,0.000,0.150,0.650,0.050,0.000,3.512481689,15% non strata,647.2613473,23853.72701
6,SAC,2019-07-16 20:39,KMO,T14,T14:1,VP55,0.172096416,0.000,0.000,0.000,0.050,0.550,0.300,0.000,5.681427479,10% non strata,876.8997634,38582.01109
7,SAC,2019-07-18 17:40,Therese Burns,T14,T14:1,VP56,0.104290351,0.000,0.000,0.000,0.200,0.300,0.350,0.000,3.442942142,,633.4485333,23379.78301
8,SAC,2019-07-18 18:57,JM ,T14,T14:1,VP57,0.005404915,0.000,0.000,0.000,0.000,0.250,0.050,0.000,0.178432658,,184.2325182,1211.740597
9,SAC,2019-07-18 19:12,Therese burns,T10,T10:3,VP58,0.118744776,0.000,0.000,0.000,0.350,0.300,0.400,0.000,6.686924458,,1013.790847,45414.06469
10,SAC,2019-07-18 19:22,Julis Michaels,T10,T10:3,VP59,0.086972438,0.000,0.000,0.000,0.000,0.100,0.700,0.000,4.897715092,,1051.969435,33265.76069
11,SAC,2019-07-18 19:30,Julia,T10,T10:3,VP60,0.117526539,0.000,0.000,0.000,0.100,0.200,0.500,0.000,6.618320942,,939.6614137,44951.52273
