"","OBJECTID","LIT","Date","Observer","Unit_Name","Subunit_Name","Combined","CirclePlot_Associated","ManagementAction","CommonName","ScientificName","ITIS_TSN","Stratum","PlantHeight","n_seed_heads","Quadrat_Size","seed_head1_F2TLength","seed_head1_Length","seed_head2_F2TLength","seed_head2_Length","seed_head3_F2TLength","seed_head3_Length","seed_head4_F2TLength","seed_head4_Length","seed_head5_F2TLength","seed_head5_Length","Comments","X","Y"
"1",554,"CLS","8/20/19","JM","T17","T17","CLS_T17_T17","C538","None","Timothy","Crypsis schoenoides",41605,"Low",19,26,"30x30",NA,0.3,NA,0.6,NA,0.7,NA,0.4,NA,0.3,"Cocklebur overstory",-13584194.27,4742561.542
"2",550,"CLS","8/20/19","JM","T17","T17","CLS_T17_T17","C543","Mowed","Timothy","Crypsis schoenoides",41605,"Med",14,61,"5x5",NA,0.3,NA,0.2,NA,0.7,NA,0.4,NA,1.1,"",-13584465.99,4742742.378
"3",564,"CLS","8/20/19","JM","T15","T15:1","CLS_T15_T15:1","C559","None","Timothy","Crypsis schoenoides",41605,"Low",21,144,"15x15",NA,0.4,NA,0.5,NA,0.4,NA,0.4,NA,0.4,"Bulrush canopy",-13587496.77,4743364.119
"4",552,"CLS","8/20/19","JM","T17","T17","CLS_T17_T17","C544","None","Timothy","Crypsis schoenoides",41605,"Med",6,78,"5x5",NA,0.6,NA,0.6,NA,0.3,NA,0.6,NA,0.6,"",-13584279.68,4742726.623
"5",576,"CLS","8/20/19","JM","T13A","T13A","CLS_T13A_T13A","C568","None","Timothy","Crypsis schoenoides",41605,"High",13,106,"5x5",NA,0.6,NA,1,NA,0.6,NA,0.7,NA,1.1,"",-13586025.15,4744377.786
"6",562,"CLS","8/20/19","JM","T15","T15:1","CLS_T15_T15:1","C541","None","Timothy","Crypsis schoenoides",41605,"High",18.5,118,"5x5",NA,0.6,NA,0.7,NA,0.4,NA,0.4,NA,0.4,"",-13587471.74,4742769.082
"7",547,"CLS","8/20/19 16:14","TB","T17","T17","CLS_T17_T17","C547","None","Timothy","Crypsis schoenoides",41605,"Med",16,132,"5x5",NA,0.6,NA,0.7,NA,0.8,NA,0.6,NA,0.4,"",-13584517.62,4742952.394
"8",555,"CLS","8/20/19","JM","T17","T17","CLS_T17_T17","C537","None","Timothy","Crypsis schoenoides",41605,"High",21,200,"5x5",NA,0.6,NA,0.8,NA,0.4,NA,1.2,NA,1.1,"",-13584371.8,4742566.571
"9",560,"CLS","8/20/19","JM","T15","T15:1","CLS_T15_T15:1","C533","None","Timothy","Crypsis schoenoides",41605,"High",12,247,"5x5",NA,0.6,NA,0.7,NA,0.5,NA,0.8,NA,0.6,"Yes really a 5x5",-13587390.63,4742534.857
"10",561,"CLS","8/20/19","TB","T15","T15:1","CLS_T15_T15:1","C541","None","Timothy","Crypsis schoenoides",41605,"Med",8.5,67,"5x5",NA,0.7,NA,0.6,NA,0.7,NA,1.1,NA,1,"",-13587472.81,4742764.913
