"","subunit_ID","p_Other_cover_NA","p_Swamp_Timothy_a.Low","p_Watergrass_a.Low","p_Smartweed_a.Low","p_Swamp_Timothy_b.Med","p_Watergrass_b.Med","p_Smartweed_b.Med","p_Swamp_Timothy_c.High","p_Watergrass_c.High","p_Smartweed_c.High"
"1","KRN_4A_4A-1",0.163962089521558,0.195976487140566,0,0,0.34744275202814,0,0,0.292618671309736,0,0
"2","KRN_4A_4A-2",0.221534638272418,0.105747821288405,0,0,0.338347242482851,0,0,0.334370297956326,0,0
"3","KRN_4A_4A-3",0.451800146816009,0.0326876008683203,0.00797910593827412,0,0.0453922128000351,0,0,0.462140933577362,0,0
"4","KRN_4A_4A-4",0.309434531437682,0.133972418589095,0,0,0.251078011801689,0,0,0.305515038171534,0,0
"5","KRN_4A_4A-5",0.174849199827776,0.0530294437479615,0,0,0.110890548387646,0,0,0.661230808036616,0,0
"6","KRN_4A_4A-6",0.453358679187425,0.474756251598827,0,0,0.00182736271646591,0,0,0,0.0700577064972822,0
"7","KRN_4A_4A-7",0.288857400977295,0.00576278275596304,0.00880508034694742,0,0.150180758486036,0.0086141704882313,0,0.537779806945527,0,0
"8","KRN_4B_4B-2",0.427457931777532,0.0710450656753978,0.0346997600310306,0,0.234172417194947,0.126769409469713,0,0.0210450656753978,0.0848103501759829,0
"9","KRN_4B_4B-3",0.217062625959448,0.0971588528253297,0.00212571690069623,0.00212571690069623,0.441446460615584,0,0,0.240080626798245,0,0
"10","KRN_4B_4B-4",0.22855840330449,0.158627724915066,0.0059518457235487,0.000935496239690274,0.343573824793868,0.0085838100912121,0,0.226215068471072,0.0275538264610532,0
"11","KRN_5A_5A-1",0.621577484243619,0.37387057935176,0,0,0.00455193640462139,0,0,0,0,0
"12","KRN_5A_5A-3",0.517522790900394,0.430779711572515,0,0,0.051697497527091,0,0,0,0,0
"13","KRN_5A_5A-4",0.692880436116289,0.297524506927706,0,0,0.00845232823054349,0,0,0.00114272872546168,0,0
"14","KRN_5A_5A-5",0.300555389260739,0.104603674167789,0,0,0.27524043001941,0,0,0.319600506552062,0,0
"15","KRN_5A_5A-6",0.0416666666666667,0.0416666666666667,0,0,0.266666666666667,0,0,0.65,0,0
"16","KRN_5A_5A-7",0.239812021168832,0.23999884534315,0,0,0.186349483097273,0,0,0.333839650390745,0,0
"17","KRN_5B_5B-1",0.656772425604377,0.341643484462654,0,0,0.00158408993296932,0,0,0,0,0
"18","KRN_5B_5B-2",0.780740650239479,0.136679051562892,0,0,0.0805309215149967,0,0,0.00204937668263192,0,0
"19","KRN_5B_5B-3",0.623913979305091,0.120256697034652,0,0,0.255829323660257,0,0,0,0,0
"20","KRN_5B_5B-7",0.235051668249304,0.149563676222534,0,0,0.208125977120313,0,0,0.407258678407848,0,0
