GlobalID,eventDate,recordedBy,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,plotStatus,eventRemarks,taxonID,vernacularName,stratum,proportionVisibleArea
{009C2608-12D1-443B-BE17-1685E78ACE8C},7/28/2021 14:15,rebeca_becdach@fws.gov_fws,35.7337468,-119.6160087,KRN,5A,5A-6,Complete,,NA,Other cover,NA,0.025
{011BE181-1EDA-4337-A0E6-6BC62E7E1FB4},7/27/2021 22:47,rebeca_becdach@fws.gov_fws,35.7370709,-119.6188521,KRN,5A,5A-3,Complete,,NA,Other cover,NA,0.3
{018CD585-359E-4528-9C38-73695A370AC1},8/4/2021 16:24,rebeca_becdach@fws.gov_fws,35.72964992,-119.6145244,KRN,4A,4A-6,NoFoodVisible,,NA,Other cover,NA,1
{0366410E-A95E-4AE3-ADCE-451541DD9E0A},7/29/2021 19:30,kathryn_heffernan@fws.gov_fws,35.91283956,-119.3887387,PIX,8A,,Complete,,NA,Other cover,NA,0.7
{06E06219-182E-4D8D-90B8-497A83E1083B},7/29/2021 16:54,kathryn_heffernan@fws.gov_fws,35.90997012,-119.3832206,PIX,9B,,Complete,,NA,Other cover,NA,0.05
{07E59259-2018-4EDF-9497-783811B0572C},7/29/2021 18:19,kathryn_heffernan@fws.gov_fws,35.91063003,-119.3871779,PIX,8A,,Complete,,NA,Other cover,NA,0.9
{0C91D960-048D-46BE-8579-53090C4758FA},8/2/2021 13:50,kathryn_heffernan@fws.gov_fws,35.91730859,-119.3845476,PIX,4,,Complete,,NA,Other cover,NA,0.025
{0D0F0111-E70C-49DA-938F-5F21DE7FB2C2},7/29/2021 14:08,kathryn_heffernan@fws.gov_fws,35.74403462,-119.6069511,KRN,5B,5B-8,Complete,,NA,Other cover,NA,0.025
{0DA2FF87-E7E9-43DE-8DB3-D8D44B7F11F2},7/29/2021 20:21,rebeca_becdach@fws.gov_fws,35.91393881,-119.3983252,PIX,1,,NoFoodVisible,,NA,Other cover,NA,1
{12100DD8-A62B-4991-81B3-C4B28F850A33},7/27/2021 21:17,kathryn_heffernan@fws.gov_fws,35.72599034,-119.609375,KRN,4A,4A-7,Complete,,NA,Other cover,NA,0.05
{14627BC1-332F-49F0-B632-B5B1D772779A},7/28/2021 15:04,rebeca_becdach@fws.gov_fws,35.73876552,-119.621433,KRN,5A,5A-1,Complete,,NA,Other cover,NA,0.3
{1C72A462-8F28-4A3C-8CFE-43A6774CC438},7/29/2021 17:29,kathryn_heffernan@fws.gov_fws,35.90705078,-119.3850149,PIX,8B,,Complete,Most of swamp Timothy covered in dried mud so counted it as no food ,NA,Other cover,NA,0.7
{1CC50E2F-17EE-4654-BF60-52C3CCD82278},8/2/2021 18:01,rebeca_becdach@fws.gov_fws,35.91800794,-119.3988051,PIX,2,,Complete,,NA,Other cover,NA,0.2
