globalid,eventDate,recordedBy,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,areaVisible_ac,eventRemarks,taxonID,vernacularName,stratum,proportionVisibleArea
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7/27/2021 15:47,kathryn_heffernan@fws.gov_fws,35.72384644,-119.6102676,KRN,4B,4B-3,0.435087692,,NA,Other cover,NA,0.05
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7/27/2021 15:47,kathryn_heffernan@fws.gov_fws,35.72384644,-119.6102676,KRN,4B,4B-3,0.435087692,,41605,Swamp Timothy,high,0.6
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7/27/2021 15:47,kathryn_heffernan@fws.gov_fws,35.72384644,-119.6102676,KRN,4B,4B-3,0.435087692,,41605,Swamp Timothy,low,0.15
{BA48DBBC-5C39-4046-B048-4361E8CDD34D},7/27/2021 15:47,kathryn_heffernan@fws.gov_fws,35.72384644,-119.6102676,KRN,4B,4B-3,0.435087692,,41605,Swamp Timothy,medium,0.2
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},7/27/2021 16:48,rebeca_becdach@fws.gov_fws,35.72160339,-119.6118393,KRN,4B,4B-3,0.656245045,,NA,Other cover,NA,0.2
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},7/27/2021 16:48,rebeca_becdach@fws.gov_fws,35.72160339,-119.6118393,KRN,4B,4B-3,0.656245045,,823756,Smartweed,low,0.01
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},7/27/2021 16:48,rebeca_becdach@fws.gov_fws,35.72160339,-119.6118393,KRN,4B,4B-3,0.656245045,,41605,Swamp Timothy,high,0.7
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},7/27/2021 16:48,rebeca_becdach@fws.gov_fws,35.72160339,-119.6118393,KRN,4B,4B-3,0.656245045,,41605,Swamp Timothy,medium,0.05
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},7/27/2021 16:48,rebeca_becdach@fws.gov_fws,35.72160339,-119.6118393,KRN,4B,4B-3,0.656245045,,41605,Swamp Timothy,low,0.05
{0252DA81-65ED-4DAB-8611-46A58D7F2B35},7/27/2021 16:48,rebeca_becdach@fws.gov_fws,35.72160339,-119.6118393,KRN,4B,4B-3,0.656245045,,502210,Watergrass,low,0.01
{18E2334F-9847-4FBB-9008-F602A82A0E0B},7/27/2021 17:12,rebeca_becdach@fws.gov_fws,35.72147751,-119.6128387,KRN,4B,4B-3,3.41538574,,NA,Other cover,NA,0.25
{18E2334F-9847-4FBB-9008-F602A82A0E0B},7/27/2021 17:12,rebeca_becdach@fws.gov_fws,35.72147751,-119.6128387,KRN,4B,4B-3,3.41538574,,41605,Swamp Timothy,high,0.1
{18E2334F-9847-4FBB-9008-F602A82A0E0B},7/27/2021 17:12,rebeca_becdach@fws.gov_fws,35.72147751,-119.6128387,KRN,4B,4B-3,3.41538574,,41605,Swamp Timothy,low,0.1
{18E2334F-9847-4FBB-9008-F602A82A0E0B},7/27/2021 17:12,rebeca_becdach@fws.gov_fws,35.72147751,-119.6128387,KRN,4B,4B-3,3.41538574,,41605,Swamp Timothy,medium,0.6
{1D282129-7A85-4C2E-B2FB-3E6CB7ED1938},7/27/2021 18:10,therese_burns@fws.gov_fws,35.72043991,-119.6137238,KRN,4B,4B-4,1.087558358,,NA,Other cover,NA,0.2
{1D282129-7A85-4C2E-B2FB-3E6CB7ED1938},7/27/2021 18:10,therese_burns@fws.gov_fws,35.72043991,-119.6137238,KRN,4B,4B-4,1.087558358,,41605,Swamp Timothy,high,0.2
{1D282129-7A85-4C2E-B2FB-3E6CB7ED1938},7/27/2021 18:10,therese_burns@fws.gov_fws,35.72043991,-119.6137238,KRN,4B,4B-4,1.087558358,,41605,Swamp Timothy,low,0.1
{1D282129-7A85-4C2E-B2FB-3E6CB7ED1938},7/27/2021 18:10,therese_burns@fws.gov_fws,35.72043991,-119.6137238,KRN,4B,4B-4,1.087558358,,41605,Swamp Timothy,medium,0.4
