GlobalID,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,recordedBy,eventDate,plotStatus,eventRemarks,taxonID,vernacularName,stratum,proportionVisibleArea
{23FC7807-DD87-4E5D-8B83-B26FDE90551A},35.72415625,-119.6114419,KRN,4B,4B-3,Tb,7/27/2021 15:07,Complete,,41605,Swamp Timothy,low,0.05
{23FC7807-DD87-4E5D-8B83-B26FDE90551A},35.72415625,-119.6114419,KRN,4B,4B-3,Tb,7/27/2021 15:07,Complete,,41605,Swamp Timothy,medium,0.35
{23FC7807-DD87-4E5D-8B83-B26FDE90551A},35.72415625,-119.6114419,KRN,4B,4B-3,Tb,7/27/2021 15:07,Complete,,NA,Other cover,NA,0.4
{F2092BEF-C719-4B52-88FB-31CCA2DB3BAA},35.72147476,-119.6122186,KRN,4B,4B-3,KH,7/27/2021 16:07,Complete,,41605,Swamp Timothy,high,0.95
{F2092BEF-C719-4B52-88FB-31CCA2DB3BAA},35.72147476,-119.6122186,KRN,4B,4B-3,KH,7/27/2021 16:07,Complete,,502210,Watergrass,low,0.025
{F2092BEF-C719-4B52-88FB-31CCA2DB3BAA},35.72147476,-119.6122186,KRN,4B,4B-3,KH,7/27/2021 16:07,Complete,,823756,Smartweed,low,0.025
{F2092BEF-C719-4B52-88FB-31CCA2DB3BAA},35.72147476,-119.6122186,KRN,4B,4B-3,KH,7/27/2021 16:07,Complete,,NA,Other cover,NA,0.025
{E30ED06D-ED24-49B9-8B22-42CA8C115164},35.72203345,-119.612858,KRN,4B,4B-3,Tb,7/27/2021 16:50,Complete,,41605,Swamp Timothy,low,0.3
{E30ED06D-ED24-49B9-8B22-42CA8C115164},35.72203345,-119.612858,KRN,4B,4B-3,Tb,7/27/2021 16:50,Complete,,41605,Swamp Timothy,medium,0.4
{E30ED06D-ED24-49B9-8B22-42CA8C115164},35.72203345,-119.612858,KRN,4B,4B-3,Tb,7/27/2021 16:50,Complete,,41605,Swamp Timothy,high,0.05
{E30ED06D-ED24-49B9-8B22-42CA8C115164},35.72203345,-119.612858,KRN,4B,4B-3,Tb,7/27/2021 16:50,Complete,,NA,Other cover,NA,0.2
{236E1BD6-2DD4-48B2-8006-4C0A83FFC4C1},35.720162,-119.6136003,KRN,4B,4B-4,TB,7/27/2021 17:55,Complete,,41605,Swamp Timothy,low,0.05
{236E1BD6-2DD4-48B2-8006-4C0A83FFC4C1},35.720162,-119.6136003,KRN,4B,4B-4,TB,7/27/2021 17:55,Complete,,41605,Swamp Timothy,high,0.7
{236E1BD6-2DD4-48B2-8006-4C0A83FFC4C1},35.720162,-119.6136003,KRN,4B,4B-4,TB,7/27/2021 17:55,Complete,,41605,Swamp Timothy,medium,0.2
{236E1BD6-2DD4-48B2-8006-4C0A83FFC4C1},35.720162,-119.6136003,KRN,4B,4B-4,TB,7/27/2021 17:55,Complete,,502210,Watergrass,low,0.025
{236E1BD6-2DD4-48B2-8006-4C0A83FFC4C1},35.720162,-119.6136003,KRN,4B,4B-4,TB,7/27/2021 17:55,Complete,,NA,Other cover,NA,0.05
{77D64A6A-508E-4FDF-B3DD-CEB779A3759E},35.7325641,-119.6124116,KRN,5A,5A-7,Rebeca,7/27/2021 18:10,Complete,,41605,Swamp Timothy,low,0.45
{77D64A6A-508E-4FDF-B3DD-CEB779A3759E},35.7325641,-119.6124116,KRN,5A,5A-7,Rebeca,7/27/2021 18:10,Complete,,41605,Swamp Timothy,medium,0.45
{77D64A6A-508E-4FDF-B3DD-CEB779A3759E},35.7325641,-119.6124116,KRN,5A,5A-7,Rebeca,7/27/2021 18:10,Complete,,NA,Other cover,NA,0.1
{C295DB67-311C-4C6C-88C3-13C4895181E3},35.71938925,-119.6149591,KRN,4B,4B-4,KH,7/27/2021 18:25,Complete,,41605,Swamp Timothy,high,0.35
{C295DB67-311C-4C6C-88C3-13C4895181E3},35.71938925,-119.6149591,KRN,4B,4B-4,KH,7/27/2021 18:25,Complete,,41605,Swamp Timothy,medium,0.2
{C295DB67-311C-4C6C-88C3-13C4895181E3},35.71938925,-119.6149591,KRN,4B,4B-4,KH,7/27/2021 18:25,Complete,,41605,Swamp Timothy,low,0.15
{C295DB67-311C-4C6C-88C3-13C4895181E3},35.71938925,-119.6149591,KRN,4B,4B-4,KH,7/27/2021 18:25,Complete,,502210,Watergrass,low,0.01
{C295DB67-311C-4C6C-88C3-13C4895181E3},35.71938925,-119.6149591,KRN,4B,4B-4,KH,7/27/2021 18:25,Complete,,823756,Smartweed,low,0.01
{C295DB67-311C-4C6C-88C3-13C4895181E3},35.71938925,-119.6149591,KRN,4B,4B-4,KH,7/27/2021 18:25,Complete,,NA,Other cover,NA,0.25
{FBE26EB4-2BDF-4347-A077-7FFF903475FE},35.73576695,-119.6109495,KRN,5A,5A-7,Rebeca,7/27/2021 18:43,Complete,,41605,Swamp Timothy,low,0.6
