LIT,refugeName,unitName,subunitName,acreage
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,Lewis 1,22,29.52519666
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,Lewis 6,22,58.58067821
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,HQ-7,27a,87.39454326
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,LIC,57,70.77863599
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,Beach Lake 3,,18.14241487
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,Beach Lake 1,,40.68074693
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,HQ-6,,110.3453605
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,Lewis 2,,42.70867737
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,Beach Lake 2,,37.21572929
SLW,STONE LAKES NATIONAL WILDLIFE REFUGE,HQ-5,,23.71186166
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 10,,34.57202047
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 2,,20.98724728
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 3,,30.84290805
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 4,,29.47455445
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 7,,35.2621796
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 8,,27.59091854
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 9,,27.55813104
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 11,,14.94748568
MDC,MODOC NATIONAL WILDLIFE REFUGE,Gadwall,,64.31560337
MDC,MODOC NATIONAL WILDLIFE REFUGE,J Pond,,56.4083211
MDC,MODOC NATIONAL WILDLIFE REFUGE,House Field,,62.73893474
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 3,,29.6671474
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 4 North,,20.48832385
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 8,,31.09234812
MDC,MODOC NATIONAL WILDLIFE REFUGE,South Dam Pond,,20.98358342
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 6,,23.30735499
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 4 South,,18.6911407
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 7,,24.99200554
MDC,MODOC NATIONAL WILDLIFE REFUGE,Flournoy Pond,,53.68736474
MDC,MODOC NATIONAL WILDLIFE REFUGE,Duck Ponds,,177.1639511
MDC,MODOC NATIONAL WILDLIFE REFUGE,Upper Goose Pond,,52.45166559
MDC,MODOC NATIONAL WILDLIFE REFUGE,Lower Goose Pond,,181.462686
MDC,MODOC NATIONAL WILDLIFE REFUGE,Middle Goose Pond,,27.29292068
PIX,PIXLEY NATIONAL WILDLIFE REFUGE,1,,140.9450496
PIX,PIXLEY NATIONAL WILDLIFE REFUGE,8B,,43.95313483
PIX,PIXLEY NATIONAL WILDLIFE REFUGE,6,,114.2581368
PIX,PIXLEY NATIONAL WILDLIFE REFUGE,7A,,31.28823215
PIX,PIXLEY NATIONAL WILDLIFE REFUGE,9A,,30.51001735
PIX,PIXLEY NATIONAL WILDLIFE REFUGE,9B,,33.3443748
