"","decimalLatitude","decimalLongitude"
"1",35.72384644,-119.6102676
"5",35.72160339,-119.6118393
"11",35.72147751,-119.6128387
"15",35.72043991,-119.6137238
"21",35.73243713,-119.6121674
"24",35.71938705,-119.6153412
"29",35.71881866,-119.6155319
"33",35.71894836,-119.6183472
"37",35.72025299,-119.618866
"40",35.72240067,-119.6176529
"45",35.72480011,-119.6141205
"48",35.7256546,-119.6089478
"52",35.72710037,-119.611763
"57",35.72488022,-119.6158905
"61",35.72410583,-119.6188736
"64",35.73608398,-119.6167603
"66",35.72340393,-119.6206055
"70",35.73688507,-119.6188507
"72",35.73831558,-119.6175385
"74",35.72467041,-119.620697
"77",35.72622299,-119.6208267
"81",35.73329926,-119.615654
"84",35.72667694,-119.6219254
"87",35.72740173,-119.6230927
"90",35.73600006,-119.6212082
"92",35.73068619,-119.6213226
"95",35.73183441,-119.6212692
"98",35.73880386,-119.6220169
"100",35.72915268,-119.6175537
"104",35.7280159,-119.6178741
"107",35.72725296,-119.6163254
"110",35.7397728,-119.6192932
"112",35.72943115,-119.6138535
"114",35.72988129,-119.6089249
"116",35.74198151,-119.6219406
"119",35.73167038,-119.6102829
"122",35.74198914,-119.6202011
"125",35.73176575,-119.6148911
"128",35.73151779,-119.616745
"131",35.73147583,-119.6174316
"135",35.74487686,-119.6195145
"137",35.75146484,-119.6124878
"140",35.74380493,-119.6216125
"142",35.7496376,-119.6147461
"144",35.74803543,-119.6153336
"146",35.74589157,-119.621521
"148",35.74897003,-119.6016006
"151",35.74768448,-119.6037292
"154",35.74568939,-119.6164093
"157",35.74765015,-119.6054153
"159",35.74546814,-119.6175079
"161",35.74862671,-119.605835
"164",35.74806595,-119.6081696
"168",35.74705124,-119.6114044
"170",35.75023651,-119.6085587
"173",35.7501564,-119.6106873
"175",35.7511673,-119.6109772
"177",35.75256348,-119.6095657
"180",35.750103,-119.6012115
"183",35.75075912,-119.6032104
"186",35.75063705,-119.6043854
"189",35.74431992,-119.6060104
"193",35.74406815,-119.6069794
"197",35.74136353,-119.6071167
"200",35.73935699,-119.610466
"204",35.74108124,-119.6110764
"208",35.74299622,-119.6103058
"212",35.7441864,-119.6169662
"214",35.74888992,-119.6022797
"217",35.72994232,-119.6102676
"219",35.73320389,-119.6201248
"221",35.7341423,-119.6183167
"224",35.73593521,-119.6194992
"226",35.73588562,-119.6108627
"228",35.73518372,-119.6136017
"230",35.73733139,-119.6122589
"234",35.74047852,-119.6147003
"238",35.73963547,-119.6141663
