Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
KRN_4A_4A-1,66.34,6.453,56.595,77.3,58.5,0.118
KRN_4A_4A-2,59.764,9.456,45,76,48,0.197
KRN_4A_4A-3,264.774,26.836,222.79,309.705,231.3,0.126
KRN_4A_4A-4,136.684,12.093,117.9,157,121.7,0.11
KRN_4A_4A-5,164.69,20.94,131.9,201.5,138.59,0.158
KRN_4A_4A-6,79.256,7.81,67.1,92.605,69.5,0.123
KRN_4B_4B-1,91.51,8.77,77.995,106.6,80.69,0.118
KRN_4B_4B-2,67.685,5.945,58.1,77.6,60.3,0.109
KRN_4B_4B-3,241.456,22.619,206.195,279.005,213.39,0.116
KRN_5A_5A-1,150.308,12.632,130.3,171.8,134.4,0.106
KRN_5A_5A-3,57.825,5.617,49,67.3,50.9,0.12
KRN_5A_5A-4,93.158,10.499,77,110.9,80.2,0.139
KRN_5A_5A-6,165.235,14.685,142.795,190.7,147.19,0.109
KRN_5A_5A-7,102.14,13.434,81.5,125.4,85.5,0.163
KRN_5B_5B-1,141.683,13.263,120.9,164.1,125.2,0.116
KRN_5B_5B-2,54.956,4.574,47.6,62.805,49.2,0.105
KRN_5B_5B-3,75.324,11.17,58.8,94.6,62,0.177
KRN_5B_5B-5,25.539,3.25,20.5,31.2,21.5,0.158
KRN_5B_5B-6,85.907,6.935,74.8,97.7,77.3,0.1
KRN_5B_5B-7,185.642,17.205,159.195,214.605,164.2,0.116
KRN_5B_5B-8,112.041,9.221,97.1,127.7,100.3,0.105
KRN_6A_6A-1,62.92,5.2,54.5,71.705,56.2,0.107
KRN_6A_6A-2,43.294,5.133,35.4,52.2,37,0.145
KRN_6A_6A-4,79.2,6.525,68.9,90.2,71,0.104
KRN_6A_6A-5,87.755,6.827,76.895,99,79.2,0.097
MDC_Duck Ponds_Duck Ponds,127.114,14.749,103.9,151.9,109,0.143
MDC_Flournoy Pond_Flournoy Pond,56.234,8.407,43.3,70.7,45.89,0.184
MDC_Gadwall_Gadwall,62.146,8.791,48.7,77.2,51.4,0.173
MDC_Grandma Tract 10_Grandma Tract 10,5.639,0.718,4.5,6.9,4.8,0.149
MDC_Grandma Tract 11_Grandma Tract 11,0.915,0.218,0.6,1.3,0.7,0.235
MDC_Grandma Tract 2_Grandma Tract 2,15.781,2.58,11.9,20.2,12.7,0.195
MDC_Grandma Tract 3_Grandma Tract 3,7.508,1.567,5.2,10.3,5.6,0.254
MDC_Grandma Tract 4_Grandma Tract 4,12.919,2.561,9.2,17.6,9.9,0.234
MDC_Grandma Tract 7_Grandma Tract 7,1.106,0.247,0.8,1.5,0.8,0.277
MDC_Grandma Tract 8_Grandma Tract 8,5.828,0.8,4.6,7.2,4.8,0.176
MDC_Grandma Tract 9_Grandma Tract 9,14.005,3.279,9.4,19.9,10.2,0.272
MDC_House Field_House Field,114.988,13.184,94.3,137.9,98.89,0.14
MDC_J Pond_J Pond,23.872,3.25,19,29.5,19.9,0.166
MDC_Matney 3_Matney 3,84.171,11.986,66,104.9,69.5,0.174
MDC_Matney 4 North_Matney 4 North,88.772,11.256,71.5,108.4,74.99,0.155
MDC_Matney 4 South_Matney 4 South,65.948,8.925,52,81.3,55,0.166
MDC_Matney 6_Matney 6,98.621,12.908,78.6,121.1,82.6,0.162
MDC_Matney 7_Matney 7,0.974,0.207,0.7,1.3,0.7,0.281
MDC_Matney 8_Matney 8,23.567,3.468,18.3,29.5,19.3,0.181
MDC_South Dam Pond_South Dam Pond,47.165,6.46,37.2,58.205,39.3,0.167
MDC_Upper Goose Pond_Upper Goose Pond,98.27,13.309,77.795,121.205,81.9,0.167
PIX_1_1,64.538,7.003,53.8,76.6,55.7,0.137
PIX_2_2,277.468,33.55,226.195,334.71,235,0.153
PIX_2A_2A,181.268,21.393,148.4,218.505,154.3,0.149
PIX_3_3,257.856,30.813,210.5,310.8,219.2,0.15
PIX_3A_3A,252.596,30.712,205.29,305.2,213.5,0.155
PIX_4_4,207.827,22.497,172.8,246.205,179.4,0.137
PIX_4A_4A,74.001,24.138,40.5,119.005,46.19,0.376
PIX_6_6,76.541,11.78,58.8,98.105,62,0.19
PIX_7A_7A,259.279,31.054,211.3,312.01,219.6,0.153
PIX_7B_7B,140.385,44.822,78.8,222.015,88.5,0.37
PIX_8A_8A,74.025,24.504,40.795,119.4,45.9,0.38
PIX_8B_8B,269.254,31.666,220.7,323.41,228.6,0.151
PIX_9A_9A,243.898,27.337,201.7,291.405,209.19,0.142
PIX_9B_9B,233.649,26.437,193.1,278.705,200.3,0.143
SLW_Beach Lake 1_Beach Lake 1,6.931,1.403,4.9,9.5,5.3,0.235
SLW_Lewis 1_22,17.112,3.776,12.2,24.2,13,0.24
SLW_Lewis 6_22,35.995,14.643,17.6,63.6,20.3,0.436
SLW_LIC_57,67.582,12.404,49.2,89.9,52.5,0.223
