Refuge,Unit,RtCI90_lwr (ton),CI90lwr (ton),Cumulative Mass (ton),Unit Mass (ton),CI90upr (ton),MOE/Mean,Cumulative Area (ha),Objective,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2)
KRN,KRN_4A_4A-5,31.962,30.115,38.942,38.942,49.047,0.179,18.098,Pass,215.168,31.451,166.395,271
KRN,KRN_4A_4A-7,61.293,58.348,73.888,34.947,92.293,0.17,36.689,Pass,187.983,26.291,148.375,234.105
KRN,KRN_5A_5A-6,88.152,83.829,105.557,31.669,130.776,0.165,50.786,Pass,224.639,31.065,177.595,281.3
KRN,KRN_5B_5B-7,104.674,99.484,124.745,19.188,154.086,0.161,62.84,Pass,159.189,22.377,125.5,198.91
KRN,KRN_4B_4B-3,120.768,114.755,142.859,18.114,175.167,0.155,81.814,Pass,95.469,14.556,73.4,121.6
KRN,KRN_5A_5A-5,135.507,128.942,159.874,17.015,195.446,0.152,95.18,Pass,127.3,16.646,102.29,157.205
KRN,KRN_5B_5B-8,150.796,144.017,176.46,16.586,213.324,0.145,114.536,Pass,85.687,11.427,68,105.1
KRN,KRN_6A_6A-3,164.636,157.792,191.513,15.053,229.15,0.14,136.124,Pass,69.73,8.93,56.3,85.205
KRN,KRN_4A_4A-4,177.359,169.731,205.708,14.195,245.449,0.138,156.731,Pass,68.884,11.904,50.9,90.1
KRN,KRN_4A_4A-1,189.684,181.719,219.522,13.814,261.465,0.136,176.199,Pass,70.958,12.024,53.2,92.3
KRN,KRN_4A_4A-2,201.328,193.05,232.485,12.963,276.221,0.134,193.654,Pass,74.265,12.111,56.2,95.5
KRN,KRN_5A_5A-7,211.816,203.673,244.85,12.365,290.865,0.135,213.286,Pass,62.982,12.598,44.695,86
KRN,KRN_4A_4A-3,220.863,211.951,255.366,10.515,303.97,0.135,221.238,Pass,132.238,22.343,98.595,172.8
KRN,KRN_4B_4B-4,229.1,219.81,264.781,9.415,315.15,0.135,229.839,Pass,109.477,13.148,89.795,132.5
KRN,KRN_4A_4A-6,234.803,225.351,270.88,6.099,322.165,0.133,255.269,Pass,23.983,3.547,18.7,30.3
KRN,KRN_5B_5B-3,240.181,230.934,276.936,6.056,328.805,0.133,278.556,Pass,26.004,4.491,19.3,33.9
KRN,KRN_4B_4B-2,245.384,235.81,282.812,5.876,335.655,0.132,296.222,Pass,33.262,7.663,22.4,47.4
KRN,KRN_5A_5A-3,250.328,240.405,288.17,5.359,341.678,0.131,317.438,Pass,25.259,5.72,17.2,35.6
KRN,KRN_6A_6A-1,255.284,245.179,293.287,5.116,347.112,0.13,339.262,Pass,23.444,3.119,18.7,28.9
KRN,KRN_6A_6A-2,260.185,250.15,298.339,5.052,352.376,0.128,359.498,Pass,24.963,3.231,19.9,30.6
KRN,KRN_6A_6A-5,263.154,253.145,301.511,3.173,355.751,0.127,373.279,Pass,23.021,2.831,18.7,28
KRN,KRN_6A_6A-4,266.157,256.086,304.682,3.171,359.078,0.126,384.776,Pass,27.584,3.07,22.8,32.9
KRN,KRN_5A_5A-1,268.554,258.398,307.13,2.447,361.735,0.126,403.503,Pass,13.068,1.694,10.5,16
KRN,KRN_5A_5A-4,270.574,260.136,309.255,2.125,364.144,0.125,422.424,Pass,11.232,1.414,9,13.7
KRN,KRN_5B_5B-2,271.834,261.783,310.779,1.525,365.746,0.125,434.354,Pass,12.781,1.981,9.8,16.3
KRN,KRN_5B_5B-1,272.955,262.812,311.937,1.157,367.098,0.125,443.58,Pass,12.544,1.555,10.1,15.2
MDC,MDC_Lower Goose Pond_Lower Goose Pond,73.869,68.148,100.387,100.387,142.909,0.264,73.435,NO,136.701,31.674,92.8,194.605
MDC,MDC_Gadwall_Gadwall,106.405,99.949,138.682,38.295,191.167,0.233,99.463,Pass,147.133,25.411,110.8,192.905
MDC,MDC_Flournoy Pond_Flournoy Pond,133.337,124.887,173.989,35.307,238.578,0.234,121.189,Pass,162.506,40.285,106.695,237.1
MDC,MDC_J Pond_J Pond,165.715,157.099,208.327,34.338,273.207,0.205,144.017,Pass,150.422,23.039,115.3,190.7
MDC,MDC_Matney 3_Matney 3,195.778,186.818,239.69,31.363,306.033,0.183,156.023,Pass,261.235,37.021,203.3,326.505
MDC,MDC_Matney 6_Matney 6,213.747,203.473,260.541,20.851,332.164,0.18,165.455,Pass,221.061,30.791,174.6,275.31
MDC,MDC_Matney 4 North_Matney 4 North,227.639,217.062,275.955,15.414,348.506,0.175,173.746,Pass,185.899,24.002,148.59,227.705
MDC,MDC_South Dam Pond_South Dam Pond,236.469,226.038,285.896,9.941,360.228,0.173,182.238,Pass,117.065,16.853,90.7,145.4
MDC,MDC_House Field_House Field,242.167,231.215,292.048,6.152,366.584,0.171,185.308,Pass,200.407,25.669,160.095,243.9
