Refuge,Species,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
KRN,Swamp_Timothy,102.2,8.85,88.26,117.08,91.21,0.108
MDC,Swamp_Timothy,59,6.73,48.54,70.38,50.73,0.14
PIX,Swamp_Timothy,151.7,17.78,123.84,182.26,129.1,0.149
SLW,Swamp_Timothy,31.7,6.42,22.48,42.82,24.24,0.235
KRN,tot,102.2,8.85,88.26,117.08,91.21,0.108
MDC,tot,60.1,6.74,49.65,71.51,51.83,0.138
PIX,tot,164.8,18.11,136.24,196.21,142.05,0.138
SLW,tot,38.5,7.55,27.67,52.17,29.66,0.23
KRN,Watergrass,0,0,0,0,0,NA
MDC,Watergrass,1.1,0.23,0.77,1.52,0.83,0.245
PIX,Watergrass,13.2,3.64,8.12,19.89,8.93,0.323
SLW,Watergrass,6.8,4.22,2.08,14.87,2.66,0.609
