Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
KRN_4A_4A-1,0,0,0,0,0,NA
KRN_4A_4A-2,0,0,0,0,0,NA
KRN_4A_4A-3,0,0,0,0,0,NA
KRN_4A_4A-4,0,0,0,0,0,NA
KRN_4A_4A-5,0,0,0,0,0,NA
KRN_4A_4A-6,0,0,0,0,0,NA
KRN_4A_4A-7,0,0,0,0,0,NA
KRN_4B_4B-2,0,0,0,0,0,NA
KRN_4B_4B-3,0,0,0,0,0,NA
KRN_4B_4B-4,0,0,0,0,0,NA
KRN_5A_5A-1,0,0,0,0,0,NA
KRN_5A_5A-3,0,0,0,0,0,NA
KRN_5A_5A-4,0,0,0,0,0,NA
KRN_5A_5A-5,0,0,0,0,0,NA
KRN_5A_5A-6,0,0,0,0,0,NA
KRN_5A_5A-7,0,0,0,0,0,NA
KRN_5B_5B-1,0,0,0,0,0,NA
KRN_5B_5B-2,0,0,0,0,0,NA
KRN_5B_5B-3,0,0,0,0,0,NA
KRN_5B_5B-7,0,0,0,0,0,NA
KRN_5B_5B-8,0,0,0,0,0,NA
KRN_6A_6A-1,0,0,0,0,0,NA
KRN_6A_6A-2,0,0,0,0,0,NA
KRN_6A_6A-3,0,0,0,0,0,NA
KRN_6A_6A-4,0,0,0,0,0,NA
KRN_6A_6A-5,0,0,0,0,0,NA
MDC_Flournoy Pond_Flournoy Pond,137.595,41.34,80.795,215.515,89.29,0.351
MDC_Gadwall_Gadwall,80.862,23.599,49.1,125.505,53.8,0.335
MDC_Grandma Tract 10_Grandma Tract 10,10.04,1.959,7.2,13.6,7.7,0.233
MDC_Grandma Tract 11_Grandma Tract 11,2.623,0.415,2,3.3,2.1,0.199
MDC_Grandma Tract 2_Grandma Tract 2,26.356,6.035,18,37.4,19.4,0.264
MDC_Grandma Tract 3_Grandma Tract 3,3.093,1.007,1.8,4.9,2,0.353
MDC_Grandma Tract 4_Grandma Tract 4,18.717,5.184,11.7,28.205,12.8,0.316
MDC_Grandma Tract 8_Grandma Tract 8,23.34,5.067,16.2,32.4,17.5,0.25
MDC_Grandma Tract 9_Grandma Tract 9,10.573,1.951,7.7,14.1,8.3,0.215
MDC_House Field_House Field,19.645,3.969,14,26.9,15,0.236
MDC_J Pond_J Pond,13.943,4.347,8.4,22.2,9.2,0.34
MDC_Lower Goose Pond_Lower Goose Pond,129.162,31.804,85.29,187.015,92.69,0.282
MDC_Matney 3_Matney 3,8.548,1.857,5.9,11.805,6.4,0.251
MDC_Matney 4 North_Matney 4 North,24.874,4.448,18.4,32.7,19.6,0.212
MDC_Matney 4 South_Matney 4 South,7.547,2.096,4.8,11.3,5.2,0.311
MDC_Matney 6_Matney 6,108.622,26.985,70.9,157.5,77,0.291
MDC_Matney 7_Matney 7,22.95,4.231,16.7,30.505,17.9,0.22
MDC_Matney 8_Matney 8,6.507,1.497,4.5,9.205,4.8,0.262
MDC_South Dam Pond_South Dam Pond,25.299,7.035,16.1,38.305,17.6,0.304
MDC_Upper Goose Pond_Upper Goose Pond,11.813,3.353,7.4,17.8,8.1,0.314
PIX_1_1,0,0,0,0,0,NA
PIX_2_2,0,0,0,0,0,NA
PIX_2A_2A,0,0,0,0,0,NA
PIX_3_3,0,0,0,0,0,NA
PIX_3A_3A,0,0,0,0,0,NA
PIX_4_4,0,0,0,0,0,NA
PIX_4A_4A,0,0,0,0,0,NA
PIX_6_6,0,0,0,0,0,NA
PIX_8A_8A,0,0,0,0,0,NA
PIX_8B_8B,0,0,0,0,0,NA
PIX_9A_9A,0,0,0,0,0,NA
PIX_9B_9B,0,0,0,0,0,NA
SLW_Beach Lake 1_Beach Lake 1,0,0,0,0,0,NA
SLW_Beach Lake 2_Beach Lake 2,0,0,0,0,0,NA
SLW_Beach Lake 3_Beach Lake 3,0,0,0,0,0,NA
SLW_HQ-5_HQ-5,0,0,0,0,0,NA
SLW_HQ-6_HQ-6,0,0,0,0,0,NA
SLW_HQ-7_27a,0,0,0,0,0,NA
SLW_Lewis 1_22,0,0,0,0,0,NA
SLW_Lewis 2_Lewis 2,0,0,0,0,0,NA
SLW_Lewis 6_22,0,0,0,0,0,NA
SLW_LIC_57,0,0,0,0,0,NA
