Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
KRN_4A_4A-1,69.53,12.09,51.695,91.005,54.7,0.213
KRN_4A_4A-2,73.089,12.154,55.1,94.5,58.1,0.205
KRN_4A_4A-3,131.588,22.367,97.695,171.905,104,0.21
KRN_4A_4A-4,67.862,11.934,49.8,89.2,53.4,0.213
KRN_4A_4A-5,214.605,31.478,165.69,270.31,176.1,0.179
KRN_4A_4A-6,23.118,3.504,17.9,29.4,18.9,0.182
KRN_4A_4A-7,187.528,26.306,147.595,233.7,155.3,0.172
KRN_4B_4B-2,31.189,7.627,20.4,45.305,22.3,0.285
KRN_4B_4B-3,94.422,14.607,72.3,120.6,76.8,0.187
KRN_4B_4B-4,108.928,13.162,89.1,131.9,92.89,0.147
KRN_5A_5A-1,12.936,1.692,10.3,15.9,10.8,0.165
KRN_5A_5A-3,24.132,5.657,16.1,34.4,17.5,0.275
KRN_5A_5A-4,11.043,1.411,8.8,13.5,9.3,0.158
KRN_5A_5A-5,126.895,16.656,101.8,156.8,106.49,0.161
KRN_5A_5A-6,224.261,31.091,177.195,281,186.79,0.167
KRN_5A_5A-7,61.19,12.634,42.7,84.4,46.2,0.245
KRN_5B_5B-1,12.386,1.553,10,15.1,10.5,0.152
KRN_5B_5B-2,12.43,1.969,9.5,16,10,0.195
KRN_5B_5B-3,25.104,4.462,18.3,32.9,19.6,0.219
KRN_5B_5B-7,158.622,22.402,125,198.305,131.1,0.174
KRN_5B_5B-8,84.898,11.456,67,104.405,71,0.164
KRN_6A_6A-1,23.07,3.112,18.4,28.5,19.3,0.163
KRN_6A_6A-2,24.475,3.217,19.5,30.1,20.5,0.162
KRN_6A_6A-3,68.863,8.965,55.3,84.505,57.8,0.161
KRN_6A_6A-4,27.396,3.071,22.695,32.7,23.6,0.139
KRN_6A_6A-5,22.574,2.817,18.295,27.5,19.1,0.154
MDC_Flournoy Pond_Flournoy Pond,20.567,8.095,10.7,35.6,12.1,0.412
MDC_Gadwall_Gadwall,60.538,14.905,38.8,86.6,42.8,0.293
MDC_Grandma Tract 10_Grandma Tract 10,3.912,0.765,2.8,5.3,3,0.233
MDC_Grandma Tract 11_Grandma Tract 11,1.042,0.205,0.7,1.4,0.8,0.232
MDC_Grandma Tract 2_Grandma Tract 2,3.187,0.984,1.9,5,2.1,0.341
MDC_Grandma Tract 3_Grandma Tract 3,2.379,0.7,1.4,3.6,1.6,0.327
MDC_Grandma Tract 4_Grandma Tract 4,1.34,0.464,0.7,2.2,0.8,0.403
MDC_Grandma Tract 8_Grandma Tract 8,1.266,0.337,0.8,1.9,0.9,0.289
MDC_Grandma Tract 9_Grandma Tract 9,2.024,0.518,1.3,3,1.4,0.308
MDC_House Field_House Field,174.793,25.406,135.5,218.715,143.4,0.18
MDC_J Pond_J Pond,131.453,23.313,96.395,172.205,103.2,0.215
MDC_Lower Goose Pond_Lower Goose Pond,5.59,1.588,3.5,8.5,3.8,0.32
MDC_Matney 3_Matney 3,251.097,37.099,193.5,317.1,205.4,0.182
MDC_Matney 4 North_Matney 4 North,157.853,23.907,120.595,199.2,128.49,0.186
MDC_Matney 4 South_Matney 4 South,48.905,9.411,35.1,65.9,37.7,0.229
MDC_Matney 6_Matney 6,106.925,16.223,82.095,135.305,86.89,0.187
MDC_Matney 7_Matney 7,13.59,2.633,9.9,18.4,10.5,0.227
MDC_Matney 8_Matney 8,6.391,1.258,4.6,8.7,4.9,0.233
MDC_South Dam Pond_South Dam Pond,89.873,16.022,65.4,117.3,70,0.221
MDC_Upper Goose Pond_Upper Goose Pond,13.213,2.963,9.1,18.505,9.8,0.258
PIX_1_1,71.064,21.63,41.1,111.105,46.4,0.347
PIX_2_2,22.026,3.459,16.7,28.1,17.8,0.192
PIX_2A_2A,8.846,3.617,4.4,15.5,5.1,0.423
PIX_3_3,17.752,5.143,11,27.1,12.2,0.313
PIX_3A_3A,21.178,3.835,15.6,28,16.6,0.216
PIX_4_4,22.352,3.509,17,28.405,18,0.195
PIX_4A_4A,25.94,4.84,19,34.6,20.2,0.221
PIX_6_6,12.658,2.244,9.3,16.6,9.9,0.218
PIX_8A_8A,9.844,2.104,6.8,13.5,7.4,0.248
PIX_8B_8B,15.06,3.016,10.7,20.3,11.5,0.236
PIX_9A_9A,21.856,3.851,16.495,29,17.4,0.204
PIX_9B_9B,31.244,6.159,22.6,42.5,24.3,0.222
SLW_Beach Lake 1_Beach Lake 1,4.924,1.195,3.4,7.1,3.6,0.269
SLW_Beach Lake 2_Beach Lake 2,18.309,9.431,8.4,35.8,9.4,0.487
SLW_Beach Lake 3_Beach Lake 3,8.007,1.472,5.8,10.6,6.2,0.226
SLW_HQ-5_HQ-5,3.287,1.809,1.3,6.8,1.6,0.513
SLW_HQ-6_HQ-6,4.871,2.812,1.9,10.205,2.2,0.548
SLW_HQ-7_27a,3.014,1.749,1.1,6.4,1.4,0.535
SLW_Lewis 1_22,22.703,11.551,9.895,44.8,11.2,0.507
SLW_Lewis 2_Lewis 2,27.409,16.108,11.1,55.405,13.1,0.522
SLW_Lewis 6_22,18.226,6.492,10.3,30.3,11.49,0.37
SLW_LIC_57,17.595,3.807,12.4,24.2,13.3,0.244
