Unit,Mass (g/m2),SE (g/m2),CI90lwr (g/m2),CI90upr (g/m2),RtCI90_lwr (g/m2),MOE/Mean
KRN_4A_4A-1,1.337,0.706,0.5,2.7,0.6,0.551
KRN_4A_4A-2,1.191,0.633,0.5,2.3,0.6,0.496
KRN_4A_4A-3,0.588,0.32,0.2,1.2,0.3,0.49
KRN_4A_4A-4,1.125,0.597,0.4,2.205,0.5,0.555
KRN_4A_4A-5,0.609,0.326,0.2,1.2,0.3,0.508
KRN_4A_4A-6,0.855,0.446,0.3,1.7,0.4,0.532
KRN_4A_4A-7,0.472,0.246,0.2,1,0.2,0.577
KRN_4B_4B-2,2.152,1.106,0.8,4.2,1,0.535
KRN_4B_4B-3,0.837,0.465,0.3,1.7,0.4,0.522
KRN_4B_4B-4,0.558,0.294,0.2,1.1,0.3,0.463
KRN_5A_5A-1,0.21,0.11,0.1,0.4,0.1,0.525
KRN_5A_5A-3,1.112,0.599,0.4,2.3,0.5,0.551
KRN_5A_5A-4,0.181,0.096,0.1,0.4,0.1,0.449
KRN_5A_5A-5,0.452,0.25,0.2,0.9,0.2,0.557
KRN_5A_5A-6,0.357,0.231,0.1,0.8,0.1,0.72
KRN_5A_5A-7,1.635,0.825,0.7,3.2,0.8,0.511
KRN_5B_5B-1,0.173,0.094,0.1,0.3,0.1,0.423
KRN_5B_5B-2,0.329,0.178,0.1,0.6,0.2,0.392
KRN_5B_5B-3,0.774,0.391,0.3,1.5,0.4,0.483
KRN_5B_5B-7,0.555,0.297,0.2,1.1,0.29,0.478
KRN_5B_5B-8,0.926,0.5,0.3,1.9,0.4,0.568
KRN_6A_6A-1,0.378,0.206,0.1,0.8,0.2,0.471
KRN_6A_6A-2,0.53,0.269,0.2,1,0.3,0.434
KRN_6A_6A-3,0.871,0.479,0.3,1.8,0.4,0.541
KRN_6A_6A-4,0.212,0.115,0.1,0.4,0.1,0.528
KRN_6A_6A-5,0.463,0.245,0.2,0.9,0.2,0.568
MDC_Flournoy Pond_Flournoy Pond,3.945,2.135,1.5,7.9,1.8,0.544
MDC_Gadwall_Gadwall,5.613,2.255,2.8,10,3.2,0.43
MDC_Grandma Tract 10_Grandma Tract 10,1.106,0.433,0.6,1.9,0.7,0.367
MDC_Grandma Tract 11_Grandma Tract 11,0.245,0.092,0.1,0.4,0.1,0.591
MDC_Grandma Tract 2_Grandma Tract 2,0.839,0.388,0.4,1.6,0.5,0.404
MDC_Grandma Tract 3_Grandma Tract 3,5.168,1.327,3.4,7.6,3.6,0.303
MDC_Grandma Tract 4_Grandma Tract 4,0.77,0.356,0.3,1.4,0.4,0.481
MDC_Grandma Tract 8_Grandma Tract 8,0.475,0.169,0.3,0.8,0.3,0.369
MDC_Grandma Tract 9_Grandma Tract 9,1.365,0.325,0.9,1.9,1,0.268
MDC_House Field_House Field,5.328,1.844,2.9,8.705,3.3,0.381
MDC_J Pond_J Pond,4.855,1.93,2.5,8.6,2.9,0.403
MDC_Lower Goose Pond_Lower Goose Pond,2.032,0.689,1.1,3.3,1.3,0.36
MDC_Matney 3_Matney 3,1.82,0.686,1,3.1,1.1,0.396
MDC_Matney 4 North_Matney 4 North,3.813,1.132,2.3,5.9,2.5,0.344
MDC_Matney 4 South_Matney 4 South,3.454,1.143,2,5.5,2.2,0.363
MDC_Matney 6_Matney 6,5.519,2.078,2.9,9.4,3.3,0.402
MDC_Matney 7_Matney 7,4.177,1.192,2.6,6.4,2.8,0.33
MDC_Matney 8_Matney 8,18.162,6.102,10,29.3,11.3,0.378
MDC_South Dam Pond_South Dam Pond,1.526,0.624,0.8,2.7,0.9,0.41
MDC_Upper Goose Pond_Upper Goose Pond,2.094,0.938,1,3.8,1.1,0.475
PIX_1_1,2.345,0.853,1.2,3.9,1.4,0.403
PIX_2_2,3.909,1.646,1.9,7,2.1,0.463
PIX_2A_2A,4.912,2.133,2.3,8.9,2.7,0.45
PIX_3_3,10.31,4.398,4.8,18.305,5.7,0.447
PIX_3A_3A,6.39,2.538,3.2,11.2,3.6,0.437
PIX_4_4,13.002,5.23,6.4,22.8,7.3,0.439
PIX_4A_4A,8.986,3.649,4.2,15.8,4.9,0.455
PIX_6_6,2.99,1.25,1.4,5.3,1.7,0.432
PIX_8A_8A,1.664,0.7,0.8,2.9,0.9,0.459
PIX_8B_8B,3.991,1.662,1.9,7.2,2.2,0.449
PIX_9A_9A,2.04,0.862,1,3.7,1.1,0.461
PIX_9B_9B,4.129,1.821,1.8,7.4,2.2,0.467
SLW_Beach Lake 1_Beach Lake 1,0.735,0.451,0.3,1.6,0.3,0.592
SLW_Beach Lake 2_Beach Lake 2,4.342,2.43,1.6,9,1.9,0.562
SLW_Beach Lake 3_Beach Lake 3,0.687,0.375,0.3,1.4,0.3,0.563
SLW_HQ-5_HQ-5,1.379,0.762,0.6,2.8,0.7,0.492
SLW_HQ-6_HQ-6,1.601,0.995,0.6,3.4,0.7,0.563
SLW_HQ-7_27a,1.064,0.555,0.5,2.1,0.5,0.53
SLW_Lewis 1_22,6.954,3.819,2.6,14,3.2,0.54
SLW_Lewis 2_Lewis 2,13.226,8.438,4.5,29.805,5.3,0.599
SLW_Lewis 6_22,4.465,2.256,1.9,8.7,2.2,0.507
SLW_LIC_57,1.499,0.879,0.6,3.1,0.7,0.533
