GlobalID_CP,LIT,decimalLatitude,decimalLongitude,eventDate,recordedBy,plotStatus,unitName,subunitName,eventRemarks,taxonID,vernacularName,stratum,proportionVisibleArea
C3,SLW,38.35810314,-121.4952674,8/12/2019 18:53,JM,Complete,HQ-7,27a,Timothy is dense but very tiny seed heads,41605,Swamp Timothy,medium,0.025
C3,SLW,38.35810314,-121.4952674,8/12/2019 18:53,JM,Complete,HQ-7,27a,Timothy is dense but very tiny seed heads,41605,Swamp Timothy,low,0.05
C3,SLW,38.35810314,-121.4952674,8/12/2019 18:53,JM,Complete,HQ-7,27a,Timothy is dense but very tiny seed heads,NA,Other cover,NA,0.925
C4,SLW,38.35834696,-121.4932023,8/12/2019 19:13,BT,NotFood,HQ-7,27a,Dominated by cocklebur and understory of sprangletop 10cm in height,NA,Other cover,NA,1
C5,SLW,38.358604,-121.4921669,8/12/2019 19:05,LD,Complete,HQ-7,27a,,41605,Swamp Timothy,medium,0.3
C5,SLW,38.358604,-121.4921669,8/12/2019 19:05,LD,Complete,HQ-7,27a,,NA,Other cover,NA,0.3
C5,SLW,38.358604,-121.4921669,8/12/2019 19:05,LD,Complete,HQ-7,27a,,41605,Swamp Timothy,low,0.4
C6,SLW,38.35892718,-121.4962804,8/12/2019 7:06,JM,Complete,HQ-7,27a,Mixed in with smartweed,41605,Swamp Timothy,high,1
C7,SLW,38.35890075,-121.4942209,8/12/2019 18:49,JM,NotFood,HQ-7,27a,Cocklebur hell,NA,Other cover,NA,1
C8,SLW,38.35918425,-121.495245,8/12/2019 18:39,JM,Complete,HQ-7,27a,Both Timothy and watergrass even,502210,Watergrass,medium,0.05
C8,SLW,38.35918425,-121.495245,8/12/2019 18:39,JM,Complete,HQ-7,27a,Both Timothy and watergrass even,502210,Watergrass,low,0.2
C8,SLW,38.35918425,-121.495245,8/12/2019 18:39,JM,Complete,HQ-7,27a,Both Timothy and watergrass even,502210,Watergrass,high,0.2
C8,SLW,38.35918425,-121.495245,8/12/2019 18:39,JM,Complete,HQ-7,27a,Both Timothy and watergrass even,41605,Swamp Timothy,high,0.55
C9,SLW,38.35969393,-121.492831,8/12/2019 18:45,LD ,Complete,HQ-7,27a,Recently mowed,502210,Watergrass,medium,0.05
C9,SLW,38.35969393,-121.492831,8/12/2019 18:45,LD ,Complete,HQ-7,27a,Recently mowed,41605,Swamp Timothy,medium,0.1
C9,SLW,38.35969393,-121.492831,8/12/2019 18:45,LD ,Complete,HQ-7,27a,Recently mowed,NA,Other cover,NA,0.25
C9,SLW,38.35969393,-121.492831,8/12/2019 18:45,LD ,Complete,HQ-7,27a,Recently mowed,41605,Swamp Timothy,high,0.6
C10,SLW,38.35995538,-121.4921389,8/12/2019 18:54,BT,Complete,HQ-7,27a,Recently mowed,41605,Swamp Timothy,high,0.1
C10,SLW,38.35995538,-121.4921389,8/12/2019 18:54,BT,Complete,HQ-7,27a,Recently mowed,41605,Swamp Timothy,medium,0.2
C10,SLW,38.35995538,-121.4921389,8/12/2019 18:54,BT,Complete,HQ-7,27a,Recently mowed,NA,Other cover,NA,0.7
C11,SLW,38.36182965,-121.4907265,8/12/2019 18:32,LD,NotFood,HQ-7,27a,Upland,NA,Other cover,NA,1
C12,SLW,38.36240111,-121.4931182,8/12/2019 18:32,LD,NotFood,HQ-7,27a,Upland,NA,Other cover,NA,1
C13,SLW,38.41623445,-121.4957803,8/12/2019 15:39, BT ,Complete,Lewis 1,22,,NA,Other cover,NA,0.1
C13,SLW,38.41623445,-121.4957803,8/12/2019 15:39, BT ,Complete,Lewis 1,22,,41605,Swamp Timothy,high,0.3
C13,SLW,38.41623445,-121.4957803,8/12/2019 15:39, BT ,Complete,Lewis 1,22,,502210,Watergrass,medium,0.6
C14,SLW,38.4161903,-121.492345,8/12/2019 13:59, BT,Complete,Lewis 6,22,,502210,Watergrass,low,0.2
C14,SLW,38.4161903,-121.492345,8/12/2019 13:59, BT,Complete,Lewis 6,22,,502210,Watergrass,medium,0.3
C14,SLW,38.4161903,-121.492345,8/12/2019 13:59, BT,Complete,Lewis 6,22,,NA,Other cover,NA,0.5
C15,SLW,38.41642961,-121.4899347,7/10/2019 15:30, KMO,Complete,Lewis 6,22,,502210,Watergrass,low,0.025
C15,SLW,38.41642961,-121.4899347,7/10/2019 15:30, KMO,Complete,Lewis 6,22,,502210,Watergrass,medium,0.025
C15,SLW,38.41642961,-121.4899347,7/10/2019 15:30, KMO,Complete,Lewis 6,22,,502210,Watergrass,high,0.15
C15,SLW,38.41642961,-121.4899347,7/10/2019 15:30, KMO,Complete,Lewis 6,22,,NA,Other cover,NA,0.8
C16,SLW,38.41704528,-121.4957635,8/12/2019 15:27, BT ,Complete,Lewis 1,22,Open water,502210,Watergrass,medium,0.025
C16,SLW,38.41704528,-121.4957635,8/12/2019 15:27, BT ,Complete,Lewis 1,22,Open water,NA,Other cover,NA,0.025
C16,SLW,38.41704528,-121.4957635,8/12/2019 15:27, BT ,Complete,Lewis 1,22,Open water,41605,Swamp Timothy,high,0.95
C17,SLW,38.41693471,-121.4871752,7/10/2019 19:07, KE,Complete,Lewis 6,22,VP2-C2,41605,Swamp Timothy,medium,0.3
C17,SLW,38.41693471,-121.4871752,7/10/2019 19:07, KE,Complete,Lewis 6,22,VP2-C2,41605,Swamp Timothy,low,0.7
C18,SLW,38.41726256,-121.4916355,8/12/2019 14:33, BT,Complete,Lewis 6,22,,502210,Watergrass,low,0.2
C18,SLW,38.41726256,-121.4916355,8/12/2019 14:33, BT,Complete,Lewis 6,22,,NA,Other cover,NA,0.8
C19,SLW,38.41721828,-121.4882001,7/10/2019 17:03, Kmo,Complete,Lewis 6,22,VP1-C2,41605,Swamp Timothy,high,0.025
C19,SLW,38.41721828,-121.4882001,7/10/2019 17:03, Kmo,Complete,Lewis 6,22,VP1-C2,41605,Swamp Timothy,low,0.05
C19,SLW,38.41721828,-121.4882001,7/10/2019 17:03, Kmo,Complete,Lewis 6,22,VP1-C2,NA,Other cover,NA,0.125
C19,SLW,38.41721828,-121.4882001,7/10/2019 17:03, Kmo,Complete,Lewis 6,22,VP1-C2,41605,Swamp Timothy,medium,0.8
C21,SLW,38.41750628,-121.4895686,7/10/2019 17:53, KMO,Complete,Lewis 6,22,VP1-C3,41605,Swamp Timothy,medium,0.01
C21,SLW,38.41750628,-121.4895686,7/10/2019 17:53, KMO,Complete,Lewis 6,22,VP1-C3,502210,Watergrass,low,0.05
C21,SLW,38.41750628,-121.4895686,7/10/2019 17:53, KMO,Complete,Lewis 6,22,VP1-C3,NA,Other cover,NA,0.94
C22,SLW,38.41774109,-121.4868147,7/10/2019 18:31, KE,Complete,Lewis 6,22,VP2-C1,41605,Swamp Timothy,low,0.01
C22,SLW,38.41774109,-121.4868147,7/10/2019 18:31, KE,Complete,Lewis 6,22,VP2-C1,502210,Watergrass,medium,0.025
C22,SLW,38.41774109,-121.4868147,7/10/2019 18:31, KE,Complete,Lewis 6,22,VP2-C1,502210,Watergrass,low,0.05
C22,SLW,38.41774109,-121.4868147,7/10/2019 18:31, KE,Complete,Lewis 6,22,VP2-C1,41605,Swamp Timothy,high,0.25
C22,SLW,38.41774109,-121.4868147,7/10/2019 18:31, KE,Complete,Lewis 6,22,VP2-C1,41605,Swamp Timothy,medium,0.3
C22,SLW,38.41774109,-121.4868147,7/10/2019 18:31, KE,Complete,Lewis 6,22,VP2-C1,NA,Other cover,NA,0.365
C23,SLW,38.41809989,-121.4936798,8/12/2019 15:33,JM,Complete,Lewis 1,22,,41605,Swamp Timothy,low,0.25
C23,SLW,38.41809989,-121.4936798,8/12/2019 15:33,JM,Complete,Lewis 1,22,,NA,Other cover,NA,0.25
C23,SLW,38.41809989,-121.4936798,8/12/2019 15:33,JM,Complete,Lewis 1,22,,41605,Swamp Timothy,medium,0.5
C24,SLW,38.4180778,-121.4919621,8/12/2019 14:33,JM,NotFood,Lewis 6,22,Eleocharis pond species,NA,Other cover,NA,1
C25,SLW,38.41806453,-121.4909315,8/12/2019 15:00, BT ,Complete,Lewis 6,22,,502210,Watergrass,high,0.3
C25,SLW,38.41806453,-121.4909315,8/12/2019 15:00, BT ,Complete,Lewis 6,22,,NA,Other cover,NA,0.7
C26,SLW,38.41805568,-121.4902444,8/12/2019 14:47, BT ,Complete,Lewis 6,22,,502210,Watergrass,low,0.3
