LIT,refugeName,unitName,subunitName,acreage,,,,
CLS,Colusa National Wildlife Refuge,T6,T6:2,34.04783775,,,,
CLS,Colusa National Wildlife Refuge,T6,T6:4,28.5417065,,,,
CLS,Colusa National Wildlife Refuge,T6,T6:3,45.35148623,,,,
CLS,Colusa National Wildlife Refuge,T6,T6:1,26.58672639,,,,
CLS,Colusa National Wildlife Refuge,T24,T24:5,28.15544266,,,,
CLS,Colusa National Wildlife Refuge,T24,T24:4,33.90453649,,,,
CLS,Colusa National Wildlife Refuge,T10,T10:3,42.93802768,,,,
CLS,Colusa National Wildlife Refuge,T6A,T6A,41.17698152,,,,
CLS,Colusa National Wildlife Refuge,T5,T5,97.66695048,,,,
CLS,Colusa National Wildlife Refuge,T15,T15:4,76.07937812,,,,
CLS,Colusa National Wildlife Refuge,T17,T17,86.13671198,,,,
CLS,Colusa National Wildlife Refuge,T15,T15:1,35.10556873,,,,
CLS,Colusa National Wildlife Refuge,T15,T15:2,41.15731195,,,,
CLS,Colusa National Wildlife Refuge,T15,T15:3,74.22094572,,,,
CLS,Colusa National Wildlife Refuge,T13A,T13A,89.04237265,,,,
CLS,Colusa National Wildlife Refuge,T27,T27.3,176.729049,,,,
KRN,Kern National Wildlife Refuge,14,14G-1,133.0155839,,,,
KRN,Kern National Wildlife Refuge,14,14E-1,85.87888901,,,,
KRN,Kern National Wildlife Refuge,14,14-F,102.5050229,,,,
KRN,Kern National Wildlife Refuge,14,14C-1,92.72147449,,,,
KRN,Kern National Wildlife Refuge,14,14A-1,60.39691714,,,,
KRN,Kern National Wildlife Refuge,14,14B-2,91.71500225,,,,
KRN,Kern National Wildlife Refuge,14,14D-1,82.39694728,,,,
KRN,Kern National Wildlife Refuge,6A,6A-1,53.92739851,,,,
KRN,Kern National Wildlife Refuge,6A,6A-2,50.00551163,,,,
KRN,Kern National Wildlife Refuge,6A,6A-4,28.40997303,,,,
KRN,Kern National Wildlife Refuge,6A,6A-5,34.05342335,,,,
KRN,Kern National Wildlife Refuge,5B,5B-1,22.79868192,,,,
KRN,Kern National Wildlife Refuge,5B,5B-3,57.54415893,,,,
KRN,Kern National Wildlife Refuge,5B,5B-5,50.1478196,,,,
