GlobalID_Qdt,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,recordedBy,eventDate,quadratSize,managementAction,taxonID,vernacularName,stratum,eventRemarks,plantHeight,nSeedHeads,GlobalID_seed,measurementType,measurementValue
1,-121.4898397,38.4163666,SLW,Lewis 6,22,Kmo,7/10/2019 15:48,30x30cm,None,502210,Watergrass,high,VP1-C1-Q1,152,6,1_1,sh_length_mm,15
1,-121.4898397,38.4163666,SLW,Lewis 6,22,Kmo,7/10/2019 15:48,30x30cm,None,502210,Watergrass,high,VP1-C1-Q1,152,6,1_3,f2t_length_mm,15
1,-121.4898397,38.4163666,SLW,Lewis 6,22,Kmo,7/10/2019 15:48,30x30cm,None,502210,Watergrass,high,VP1-C1-Q1,152,6,1_1,f2t_length_mm,17
1,-121.4898397,38.4163666,SLW,Lewis 6,22,Kmo,7/10/2019 15:48,30x30cm,None,502210,Watergrass,high,VP1-C1-Q1,152,6,1_2,sh_length_mm,17
1,-121.4898397,38.4163666,SLW,Lewis 6,22,Kmo,7/10/2019 15:48,30x30cm,None,502210,Watergrass,high,VP1-C1-Q1,152,6,1_2,f2t_length_mm,19
2,-121.4899745,38.41641508,SLW,Lewis 6,22,KE,7/10/2019 16:08,30x30cm,None,502210,Watergrass,low,VP1-C1-Q2,69,3,2_2,f2t_length_mm,8
2,-121.4899745,38.41641508,SLW,Lewis 6,22,KE,7/10/2019 16:08,30x30cm,None,502210,Watergrass,low,VP1-C1-Q2,69,3,2_1,sh_length_mm,12
2,-121.4899745,38.41641508,SLW,Lewis 6,22,KE,7/10/2019 16:08,30x30cm,None,502210,Watergrass,low,VP1-C1-Q2,69,3,2_1,f2t_length_mm,14
3,-121.4899788,38.41634925,SLW,Lewis 6,22,TYB,7/10/2019 16:16,30x30cm,None,502210,Watergrass,medium,,86,13,3_1,f2t_length_mm,12
3,-121.4899788,38.41634925,SLW,Lewis 6,22,TYB,7/10/2019 16:16,30x30cm,None,502210,Watergrass,medium,,86,13,3_3,f2t_length_mm,12
3,-121.4899788,38.41634925,SLW,Lewis 6,22,TYB,7/10/2019 16:16,30x30cm,None,502210,Watergrass,medium,,86,13,3_2,sh_length_mm,13
3,-121.4899788,38.41634925,SLW,Lewis 6,22,TYB,7/10/2019 16:16,30x30cm,None,502210,Watergrass,medium,,86,13,3_1,sh_length_mm,15
3,-121.4899788,38.41634925,SLW,Lewis 6,22,TYB,7/10/2019 16:16,30x30cm,None,502210,Watergrass,medium,,86,13,3_2,f2t_length_mm,17
4,-121.4883036,38.41714372,SLW,Lewis 6,22,KMO,7/10/2019 17:15,15x15cm,None,41605,Swamp Timothy,high,VP1-C2-Q1 IF in mm,0.600000024,84,4_2,sh_length_mm,0.7
4,-121.4883036,38.41714372,SLW,Lewis 6,22,KMO,7/10/2019 17:15,15x15cm,None,41605,Swamp Timothy,high,VP1-C2-Q1 IF in mm,0.600000024,84,4_3,f2t_length_mm,0.9
4,-121.4883036,38.41714372,SLW,Lewis 6,22,KMO,7/10/2019 17:15,15x15cm,None,41605,Swamp Timothy,high,VP1-C2-Q1 IF in mm,0.600000024,84,4_1,sh_length_mm,1.1
4,-121.4883036,38.41714372,SLW,Lewis 6,22,KMO,7/10/2019 17:15,15x15cm,None,41605,Swamp Timothy,high,VP1-C2-Q1 IF in mm,0.600000024,84,4_2,f2t_length_mm,1.4
4,-121.4883036,38.41714372,SLW,Lewis 6,22,KMO,7/10/2019 17:15,15x15cm,None,41605,Swamp Timothy,high,VP1-C2-Q1 IF in mm,0.600000024,84,4_1,f2t_length_mm,1.8
5,-121.4880924,38.41732352,SLW,Lewis 6,22,KE,7/10/2019 17:33,30x30cm,None,41605,Swamp Timothy,medium,Mm,1.600000024,58,5_3,f2t_length_mm,0.7
5,-121.4880924,38.41732352,SLW,Lewis 6,22,KE,7/10/2019 17:33,30x30cm,None,41605,Swamp Timothy,medium,Mm,1.600000024,58,5_1,f2t_length_mm,0.8
5,-121.4880924,38.41732352,SLW,Lewis 6,22,KE,7/10/2019 17:33,30x30cm,None,41605,Swamp Timothy,medium,Mm,1.600000024,58,5_2,f2t_length_mm,0.9
5,-121.4880924,38.41732352,SLW,Lewis 6,22,KE,7/10/2019 17:33,30x30cm,None,41605,Swamp Timothy,medium,Mm,1.600000024,58,5_1,sh_length_mm,1
5,-121.4880924,38.41732352,SLW,Lewis 6,22,KE,7/10/2019 17:33,30x30cm,None,41605,Swamp Timothy,medium,Mm,1.600000024,58,5_2,sh_length_mm,1
6,-121.4881175,38.41729782,SLW,Lewis 6,22,KMO,7/10/2019 17:44,30x30cm,None,41605,Swamp Timothy,low,VP2-C2-Q3 mm,0.300000012,29,6_2,f2t_length_mm,0.7
6,-121.4881175,38.41729782,SLW,Lewis 6,22,KMO,7/10/2019 17:44,30x30cm,None,41605,Swamp Timothy,low,VP2-C2-Q3 mm,0.300000012,29,6_3,f2t_length_mm,0.8
6,-121.4881175,38.41729782,SLW,Lewis 6,22,KMO,7/10/2019 17:44,30x30cm,None,41605,Swamp Timothy,low,VP2-C2-Q3 mm,0.300000012,29,6_2,sh_length_mm,0.9
6,-121.4881175,38.41729782,SLW,Lewis 6,22,KMO,7/10/2019 17:44,30x30cm,None,41605,Swamp Timothy,low,VP2-C2-Q3 mm,0.300000012,29,6_1,f2t_length_mm,1.3
6,-121.4881175,38.41729782,SLW,Lewis 6,22,KMO,7/10/2019 17:44,30x30cm,None,41605,Swamp Timothy,low,VP2-C2-Q3 mm,0.300000012,29,6_1,sh_length_mm,1.3
7,-121.4896048,38.41746454,SLW,Lewis 6,22,KMO,7/10/2019 17:58,30x30cm,None,502210,Watergrass,medium,VP1-C3-Q1. Mm,6.599999905,2,7_1,sh_length_mm,10.8
7,-121.4896048,38.41746454,SLW,Lewis 6,22,KMO,7/10/2019 17:58,30x30cm,None,502210,Watergrass,medium,VP1-C3-Q1. Mm,6.599999905,2,7_1,f2t_length_mm,19.3
8,-121.4867525,38.41769735,SLW,Lewis 6,22,KE,7/10/2019 18:35,15x15cm,None,41605,Swamp Timothy,high,Mm VP2-C1-Q1,1,182,8_2,f2t_length_mm,0.9
8,-121.4867525,38.41769735,SLW,Lewis 6,22,KE,7/10/2019 18:35,15x15cm,None,41605,Swamp Timothy,high,Mm VP2-C1-Q1,1,182,8_3,f2t_length_mm,0.9
8,-121.4867525,38.41769735,SLW,Lewis 6,22,KE,7/10/2019 18:35,15x15cm,None,41605,Swamp Timothy,high,Mm VP2-C1-Q1,1,182,8_2,sh_length_mm,1
8,-121.4867525,38.41769735,SLW,Lewis 6,22,KE,7/10/2019 18:35,15x15cm,None,41605,Swamp Timothy,high,Mm VP2-C1-Q1,1,182,8_1,f2t_length_mm,1.1
8,-121.4867525,38.41769735,SLW,Lewis 6,22,KE,7/10/2019 18:35,15x15cm,None,41605,Swamp Timothy,high,Mm VP2-C1-Q1,1,182,8_1,sh_length_mm,1.2
9,-121.4867177,38.41784831,SLW,Lewis 6,22,KE,7/10/2019 18:47,30x30cm,None,502210,Watergrass,low,Mm VP2-C1-Q3,4.599999905,2,9_1,f2t_length_mm,11.9
9,-121.4867177,38.41784831,SLW,Lewis 6,22,KE,7/10/2019 18:47,30x30cm,None,502210,Watergrass,low,Mm VP2-C1-Q3,4.599999905,2,9_1,sh_length_mm,12.7
10,-121.4867327,38.41778741,SLW,Lewis 6,22,KE,7/10/2019 18:54,30x30cm,None,41605,Swamp Timothy,low,VP2-C1-Q4 mm,0.600000024,37,10_3,f2t_length_mm,0.8
10,-121.4867327,38.41778741,SLW,Lewis 6,22,KE,7/10/2019 18:54,30x30cm,None,41605,Swamp Timothy,low,VP2-C1-Q4 mm,0.600000024,37,10_2,f2t_length_mm,0.9
10,-121.4867327,38.41778741,SLW,Lewis 6,22,KE,7/10/2019 18:54,30x30cm,None,41605,Swamp Timothy,low,VP2-C1-Q4 mm,0.600000024,37,10_2,sh_length_mm,0.9
10,-121.4867327,38.41778741,SLW,Lewis 6,22,KE,7/10/2019 18:54,30x30cm,None,41605,Swamp Timothy,low,VP2-C1-Q4 mm,0.600000024,37,10_1,f2t_length_mm,1
10,-121.4867327,38.41778741,SLW,Lewis 6,22,KE,7/10/2019 18:54,30x30cm,None,41605,Swamp Timothy,low,VP2-C1-Q4 mm,0.600000024,37,10_1,sh_length_mm,1.6
11,-121.4866389,38.41775833,SLW,Lewis 6,22,KE,7/10/2019 18:58,30x30cm,None,502210,Watergrass,medium,VP2-C1-Q5 mm,6.699999809,6,11_2,sh_length_mm,11.5
11,-121.4866389,38.41775833,SLW,Lewis 6,22,KE,7/10/2019 18:58,30x30cm,None,502210,Watergrass,medium,VP2-C1-Q5 mm,6.699999809,6,11_2,f2t_length_mm,13.4
11,-121.4866389,38.41775833,SLW,Lewis 6,22,KE,7/10/2019 18:58,30x30cm,None,502210,Watergrass,medium,VP2-C1-Q5 mm,6.699999809,6,11_1,sh_length_mm,13.5
11,-121.4866389,38.41775833,SLW,Lewis 6,22,KE,7/10/2019 18:58,30x30cm,None,502210,Watergrass,medium,VP2-C1-Q5 mm,6.699999809,6,11_1,f2t_length_mm,14
11,-121.4866389,38.41775833,SLW,Lewis 6,22,KE,7/10/2019 18:58,30x30cm,None,502210,Watergrass,medium,VP2-C1-Q5 mm,6.699999809,6,11_3,f2t_length_mm,15
12,-121.4871858,38.41690216,SLW,Lewis 6,22,KE,7/10/2019 19:10,15x15cm,None,41605,Swamp Timothy,medium,VP2-C2-Q1 mm,0.200000003,33,12_3,f2t_length_mm,0.7
12,-121.4871858,38.41690216,SLW,Lewis 6,22,KE,7/10/2019 19:10,15x15cm,None,41605,Swamp Timothy,medium,VP2-C2-Q1 mm,0.200000003,33,12_2,sh_length_mm,0.8
12,-121.4871858,38.41690216,SLW,Lewis 6,22,KE,7/10/2019 19:10,15x15cm,None,41605,Swamp Timothy,medium,VP2-C2-Q1 mm,0.200000003,33,12_1,f2t_length_mm,0.9
12,-121.4871858,38.41690216,SLW,Lewis 6,22,KE,7/10/2019 19:10,15x15cm,None,41605,Swamp Timothy,medium,VP2-C2-Q1 mm,0.200000003,33,12_1,sh_length_mm,1.1
12,-121.4871858,38.41690216,SLW,Lewis 6,22,KE,7/10/2019 19:10,15x15cm,None,41605,Swamp Timothy,medium,VP2-C2-Q1 mm,0.200000003,33,12_2,f2t_length_mm,1.1
13,-121.487041,38.41694188,SLW,Lewis 6,22,ejr,7/10/2019 19:20,15x15cm,None,41605,Swamp Timothy,low,millimeters,0.600000024,6,13_3,f2t_length_mm,0.9
13,-121.487041,38.41694188,SLW,Lewis 6,22,ejr,7/10/2019 19:20,15x15cm,None,41605,Swamp Timothy,low,millimeters,0.600000024,6,13_1,sh_length_mm,1.3
13,-121.487041,38.41694188,SLW,Lewis 6,22,ejr,7/10/2019 19:20,15x15cm,None,41605,Swamp Timothy,low,millimeters,0.600000024,6,13_2,sh_length_mm,1.4
13,-121.487041,38.41694188,SLW,Lewis 6,22,ejr,7/10/2019 19:20,15x15cm,None,41605,Swamp Timothy,low,millimeters,0.600000024,6,13_2,f2t_length_mm,1.5
13,-121.487041,38.41694188,SLW,Lewis 6,22,ejr,7/10/2019 19:20,15x15cm,None,41605,Swamp Timothy,low,millimeters,0.600000024,6,13_1,f2t_length_mm,2.3
14,-121.4908914,38.41940504,SLW,Lewis 6,22,KE,7/10/2019 20:58,30x30cm,None,502210,Watergrass,low,VP3-C1-Q1 mm,3.700000048,1,14_1,f2t_length_mm,18.4
15,-121.4908625,38.4194275,SLW,Lewis 6,22,KE,7/10/2019 21:12,30x30cm,None,502210,Watergrass,medium,V3-C1-Q2,4.400000095,11,15_1,sh_length_mm,10
15,-121.4908625,38.4194275,SLW,Lewis 6,22,KE,7/10/2019 21:12,30x30cm,None,502210,Watergrass,medium,V3-C1-Q2,4.400000095,11,15_2,sh_length_mm,10.3
15,-121.4908625,38.4194275,SLW,Lewis 6,22,KE,7/10/2019 21:12,30x30cm,None,502210,Watergrass,medium,V3-C1-Q2,4.400000095,11,15_1,f2t_length_mm,14.1
15,-121.4908625,38.4194275,SLW,Lewis 6,22,KE,7/10/2019 21:12,30x30cm,None,502210,Watergrass,medium,V3-C1-Q2,4.400000095,11,15_3,f2t_length_mm,14.9
15,-121.4908625,38.4194275,SLW,Lewis 6,22,KE,7/10/2019 21:12,30x30cm,None,502210,Watergrass,medium,V3-C1-Q2,4.400000095,11,15_2,f2t_length_mm,15
16,-121.4908719,38.41943006,SLW,Lewis 6,22,KE,7/10/2019 21:20,30x30cm,None,502210,Watergrass,high,VP3-C1-Q3,14.89999962,43,16_3,f2t_length_mm,11.9
16,-121.4908719,38.41943006,SLW,Lewis 6,22,KE,7/10/2019 21:20,30x30cm,None,502210,Watergrass,high,VP3-C1-Q3,14.89999962,43,16_2,f2t_length_mm,13.6
16,-121.4908719,38.41943006,SLW,Lewis 6,22,KE,7/10/2019 21:20,30x30cm,None,502210,Watergrass,high,VP3-C1-Q3,14.89999962,43,16_1,sh_length_mm,14.2
16,-121.4908719,38.41943006,SLW,Lewis 6,22,KE,7/10/2019 21:20,30x30cm,None,502210,Watergrass,high,VP3-C1-Q3,14.89999962,43,16_1,f2t_length_mm,14.3
16,-121.4908719,38.41943006,SLW,Lewis 6,22,KE,7/10/2019 21:20,30x30cm,None,502210,Watergrass,high,VP3-C1-Q3,14.89999962,43,16_2,sh_length_mm,17
17,-121.4901614,38.41921619,SLW,Lewis 6,22,KE,7/10/2019 21:32,30x30cm,None,502210,Watergrass,low,VP3-C2-Q1,5.800000191,2,17_1,f2t_length_mm,12.8
17,-121.4901614,38.41921619,SLW,Lewis 6,22,KE,7/10/2019 21:32,30x30cm,None,502210,Watergrass,low,VP3-C2-Q1,5.800000191,2,17_1,sh_length_mm,13.1
18,-121.4901767,38.41927721,SLW,Lewis 6,22,KE,7/10/2019 21:37,30x30cm,None,502210,Watergrass,medium,VP3-C2-Q2,7.599999905,5,18_1,sh_length_mm,13.5
18,-121.4901767,38.41927721,SLW,Lewis 6,22,KE,7/10/2019 21:37,30x30cm,None,502210,Watergrass,medium,VP3-C2-Q2,7.599999905,5,18_3,f2t_length_mm,14
18,-121.4901767,38.41927721,SLW,Lewis 6,22,KE,7/10/2019 21:37,30x30cm,None,502210,Watergrass,medium,VP3-C2-Q2,7.599999905,5,18_1,f2t_length_mm,14.5
18,-121.4901767,38.41927721,SLW,Lewis 6,22,KE,7/10/2019 21:37,30x30cm,None,502210,Watergrass,medium,VP3-C2-Q2,7.599999905,5,18_2,f2t_length_mm,16
18,-121.4901767,38.41927721,SLW,Lewis 6,22,KE,7/10/2019 21:37,30x30cm,None,502210,Watergrass,medium,VP3-C2-Q2,7.599999905,5,18_2,sh_length_mm,17.5
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_4,sh_length_mm,5
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_2,sh_length_mm,7
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_4,f2t_length_mm,8
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_1,sh_length_mm,8.5
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_3,f2t_length_mm,9.5
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_3,sh_length_mm,10
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_2,f2t_length_mm,11
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_5,sh_length_mm,13
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_1,f2t_length_mm,15.5
19,-122.1731306,39.42282274,SAC,T14,T14:2,KMO,7/16/2019 16:42,30x30cm,None,502210,Watergrass,high,C120,76.30000305,147,19_5,f2t_length_mm,24.5
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_2,f2t_length_mm,5.5
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_3,f2t_length_mm,5.5
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_3,sh_length_mm,5.5
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_2,sh_length_mm,6.7
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_1,sh_length_mm,7
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_1,f2t_length_mm,8.5
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_5,sh_length_mm,12
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_4,sh_length_mm,14
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_5,f2t_length_mm,25
20,-122.1731653,39.42273842,SAC,T14,T14:2,KMO,7/16/2019 16:53,30x30cm,None,502210,Watergrass,medium,C120,83.69999695,46,20_4,f2t_length_mm,26.5
21,-122.1731364,39.42266516,SAC,T14,T14:2,KMO,7/16/2019 17:07,30x30cm,None,502210,Watergrass,low,,108,8,21_1,sh_length_mm,6.5
