GlobalID_CP,decimalLongitude,decimalLatitude,LIT,unitName,subunitName,recordedBy,eventDate,plotStatus,eventRemarks,taxonID,vernacularName,stratum,proportionVisibleArea
36,-119.3850149,35.90705078,PIX,8B,,GG,9/3/2020 17:07,Complete,,41605,Swamp Timothy,high,1
39,-119.3899675,35.90774059,PIX,7B,,GG,9/4/2020 15:34,Complete,,41605,Swamp Timothy,high,1
41,-119.380345,35.90745054,PIX,9B,,MJ,8/26/2020 16:03,Complete,,41605,Swamp Timothy,medium,0.1
41,-119.380345,35.90745054,PIX,9B,,MJ,8/26/2020 16:03,Complete,,41605,Swamp Timothy,high,0.75
43,-119.388628,35.90797058,PIX,7B,,GG,9/4/2020 16:59,Complete,,41605,Swamp Timothy,medium,0.05
43,-119.388628,35.90797058,PIX,7B,,GG,9/4/2020 16:59,Complete,,41605,Swamp Timothy,high,0.95
46,-119.3846094,35.90866043,PIX,8B,,GG,9/3/2020 17:04,Complete,,41605,Swamp Timothy,medium,0.05
46,-119.3846094,35.90866043,PIX,8B,,GG,9/3/2020 17:04,Complete,,41605,Swamp Timothy,high,0.95
49,-119.3826062,35.90887034,PIX,9B,,MJ,8/26/2020 15:44,Complete,,NA,Other cover,NA,0.15
49,-119.3826062,35.90887034,PIX,9B,,MJ,8/26/2020 15:44,Complete,,41605,Swamp Timothy,high,0.75
50,-119.391553,35.90941019,PIX,7B,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.1
50,-119.391553,35.90941019,PIX,7B,,,01/00/1900 00:00,Complete,,NA,Other cover,NA,0.55
50,-119.391553,35.90941019,PIX,7B,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,high,0.75
51,-119.3995044,35.9099195,PIX,6,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,medium,0.1
51,-119.3995044,35.9099195,PIX,6,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,low,0.15
51,-119.3995044,35.9099195,PIX,6,,,01/00/1900 00:00,Complete,,41605,Swamp Timothy,high,0.2
54,-119.388542,35.90986018,PIX,8B,,MJ,9/2/2020 17:28,Complete,,41605,Swamp Timothy,high,0.8
57,-119.3832206,35.90997012,PIX,9B,,MJ,8/24/2020 18:18,Complete,,502210,Watergrass,low,0.01
57,-119.3832206,35.90997012,PIX,9B,,MJ,8/24/2020 18:18,Complete,,NA,Other cover,NA,0.05
57,-119.3832206,35.90997012,PIX,9B,,MJ,8/24/2020 18:18,Complete,,41605,Swamp Timothy,high,1
58,-119.3908279,35.91073994,PIX,7A,,GG,9/4/2020 15:07,Complete,,41605,Swamp Timothy,low,0.2
58,-119.3908279,35.91073994,PIX,7A,,GG,9/4/2020 15:07,Complete,,41605,Swamp Timothy,high,0.75
59,-119.3871779,35.91063003,PIX,8A,,MJ,9/2/2020 17:21,Complete,,NA,Other cover,NA,0.01
59,-119.3871779,35.91063003,PIX,8A,,MJ,9/2/2020 17:21,Complete,,41605,Swamp Timothy,high,0.2
