LIT,refugeName,unitName,subunitName,acreage
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14G-1,133.0157014
KRN,KERN NATIONAL WILDLIFE REFUGE,14,1.40E+00,85.87896493
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14-F,102.5051135
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14C-1,92.72155646
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14A-1,60.39697053
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14B-2,91.71508333
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14D-1,82.39702012
KRN,KERN NATIONAL WILDLIFE REFUGE,6A,6A-1,53.92744619
KRN,KERN NATIONAL WILDLIFE REFUGE,6A,6A-2,50.00555584
KRN,KERN NATIONAL WILDLIFE REFUGE,6A,6A-4,28.40999815
KRN,KERN NATIONAL WILDLIFE REFUGE,6A,6A-5,34.05345346
KRN,KERN NATIONAL WILDLIFE REFUGE,5B,5B-1,22.79870207
KRN,KERN NATIONAL WILDLIFE REFUGE,5B,5B-3,57.5442098
KRN,KERN NATIONAL WILDLIFE REFUGE,5B,5B-5,50.14786394
KRN,KERN NATIONAL WILDLIFE REFUGE,5B,5B-6,31.98835362
KRN,KERN NATIONAL WILDLIFE REFUGE,5B,5B-2,29.47975983
KRN,KERN NATIONAL WILDLIFE REFUGE,5B,5B-7,29.78457267
KRN,KERN NATIONAL WILDLIFE REFUGE,5A,5A-5,33.0281061
KRN,KERN NATIONAL WILDLIFE REFUGE,5A,5A-3,52.42501248
KRN,KERN NATIONAL WILDLIFE REFUGE,5A,5A-1,46.27578177
KRN,KERN NATIONAL WILDLIFE REFUGE,5A,5A-7,48.51385747
KRN,KERN NATIONAL WILDLIFE REFUGE,5A,5A-4,46.75496151
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-1,48.10715878
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-3,22.18586944
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-6,65.8410128
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-2,43.13099831
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-7,45.93708218
KRN,KERN NATIONAL WILDLIFE REFUGE,4B,4B-1,63.90012641
KRN,KERN NATIONAL WILDLIFE REFUGE,4B,4B-2,43.65361501
KRN,KERN NATIONAL WILDLIFE REFUGE,4B,4B-4,21.25175568
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-5,54.22045057
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14G-2,119.7564604
KRN,KERN NATIONAL WILDLIFE REFUGE,14,1.40E-01,81.55543923
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14D-2,63.54855722
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14C-2,58.82312853
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14B-1,75.65476201
KRN,KERN NATIONAL WILDLIFE REFUGE,14,14A-2,53.55652265
KRN,KERN NATIONAL WILDLIFE REFUGE,6A,6A-3,53.34503461
KRN,KERN NATIONAL WILDLIFE REFUGE,5B,5B-8,47.83110864
KRN,KERN NATIONAL WILDLIFE REFUGE,5A,5A-6,34.83575791
KRN,KERN NATIONAL WILDLIFE REFUGE,4A,4A-4,50.91961701
KRN,KERN NATIONAL WILDLIFE REFUGE,4B,4B-3,46.88521752
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 10,,34.57202012
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 2,,20.98724649
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 3,,30.84290732
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 4,,29.47455689
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 7,,35.26217955
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 8,,27.59091936
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 9,,27.55813315
MDC,MODOC NATIONAL WILDLIFE REFUGE,Grandma Tract 11,,14.94748643
MDC,MODOC NATIONAL WILDLIFE REFUGE,Gadwall,,64.31560295
MDC,MODOC NATIONAL WILDLIFE REFUGE,J Pond,,56.4083263
MDC,MODOC NATIONAL WILDLIFE REFUGE,House Field,,62.73892947
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 3,,29.66714927
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 4 North,,20.48832782
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 8,,31.0923477
MDC,MODOC NATIONAL WILDLIFE REFUGE,South Dam Pond,,20.98358459
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 6,,23.30735502
MDC,MODOC NATIONAL WILDLIFE REFUGE,Matney 4 South,,18.69113856
