GlobalID_Qdt,decimalLatitude,decimalLongitude,LIT,unitName,subunitName,eventDate,recordedBy,quadratSize,managementAction,taxonID,vernacularName,stratum,plantHeight,nSeedHeads,eventRemarks,GlobalID_seed,measurementType,measurementValue
1,38.34924142,-121.5056986,SLW,LIC,57,8/7/2020 16:10,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,5,60,Swamp Timothy,1_1,f2t_length_mm,8
1,38.34924142,-121.5056986,SLW,LIC,57,8/7/2020 16:10,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,5,60,Swamp Timothy,1_2,f2t_length_mm,10
1,38.34924142,-121.5056986,SLW,LIC,57,8/7/2020 16:10,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,5,60,Swamp Timothy,1_3,f2t_length_mm,11
1,38.34924142,-121.5056986,SLW,LIC,57,8/7/2020 16:10,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,5,60,Swamp Timothy,1_4,f2t_length_mm,8
1,38.34924142,-121.5056986,SLW,LIC,57,8/7/2020 16:10,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,5,60,Swamp Timothy,1_5,f2t_length_mm,8
2,38.3492519,-121.5056313,SLW,LIC,57,8/7/2021 16:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,4,263,,2_1,f2t_length_mm,11
2,38.3492519,-121.5056313,SLW,LIC,57,8/7/2021 16:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,4,263,,2_2,f2t_length_mm,7
2,38.3492519,-121.5056313,SLW,LIC,57,8/7/2021 16:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,4,263,,2_3,f2t_length_mm,8
2,38.3492519,-121.5056313,SLW,LIC,57,8/7/2021 16:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,4,263,,2_4,f2t_length_mm,9
2,38.3492519,-121.5056313,SLW,LIC,57,8/7/2021 16:46,BT MK,15x15cm,mowed,41605,Swamp Timothy,medium,4,263,,2_5,f2t_length_mm,8
3,38.34875846,-121.5040443,SLW,LIC,57,8/7/2020 17:02,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,20,146,,3_1,f2t_length_mm,18
3,38.34875846,-121.5040443,SLW,LIC,57,8/7/2020 17:02,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,20,146,,3_2,f2t_length_mm,13
3,38.34875846,-121.5040443,SLW,LIC,57,8/7/2020 17:02,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,20,146,,3_3,f2t_length_mm,9
3,38.34875846,-121.5040443,SLW,LIC,57,8/7/2020 17:02,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,20,146,,3_4,f2t_length_mm,12
3,38.34875846,-121.5040443,SLW,LIC,57,8/7/2020 17:02,M. Kolwyck,5x5cm,mowed,41605,Swamp Timothy,high,20,146,,3_5,f2t_length_mm,12
4,38.34872736,-121.5040578,SLW,LIC,57,8/7/2020 17:12,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,9,79,,4_1,f2t_length_mm,7
4,38.34872736,-121.5040578,SLW,LIC,57,8/7/2020 17:12,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,9,79,,4_2,f2t_length_mm,6
4,38.34872736,-121.5040578,SLW,LIC,57,8/7/2020 17:12,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,9,79,,4_3,f2t_length_mm,13
4,38.34872736,-121.5040578,SLW,LIC,57,8/7/2020 17:12,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,9,79,,4_4,f2t_length_mm,12
4,38.34872736,-121.5040578,SLW,LIC,57,8/7/2020 17:12,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,9,79,,4_5,f2t_length_mm,11
5,38.34748655,-121.5054875,SLW,LIC,57,8/7/2020 17:28,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,7,18,,5_1,f2t_length_mm,14
5,38.34748655,-121.5054875,SLW,LIC,57,8/7/2020 17:28,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,7,18,,5_2,f2t_length_mm,19
5,38.34748655,-121.5054875,SLW,LIC,57,8/7/2020 17:28,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,7,18,,5_3,f2t_length_mm,11
5,38.34748655,-121.5054875,SLW,LIC,57,8/7/2020 17:28,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,7,18,,5_4,f2t_length_mm,11
5,38.34748655,-121.5054875,SLW,LIC,57,8/7/2020 17:28,M. Kolwyck,15x15cm,mowed,41605,Swamp Timothy,low,7,18,,5_5,f2t_length_mm,12
6,38.34748877,-121.5053608,SLW,LIC,57,8/7/2020 17:31,BT MK,15x15cm,mowed,41605,Swamp Timothy,low,2,38,,6_1,f2t_length_mm,6
6,38.34748877,-121.5053608,SLW,LIC,57,8/7/2020 17:31,BT MK,15x15cm,mowed,41605,Swamp Timothy,low,2,38,,6_2,f2t_length_mm,7
6,38.34748877,-121.5053608,SLW,LIC,57,8/7/2020 17:31,BT MK,15x15cm,mowed,41605,Swamp Timothy,low,2,38,,6_3,f2t_length_mm,10
6,38.34748877,-121.5053608,SLW,LIC,57,8/7/2020 17:31,BT MK,15x15cm,mowed,41605,Swamp Timothy,low,2,38,,6_4,f2t_length_mm,9
6,38.34748877,-121.5053608,SLW,LIC,57,8/7/2020 17:31,BT MK,15x15cm,mowed,41605,Swamp Timothy,low,2,38,,6_5,f2t_length_mm,8
7,38.34948374,-121.5006649,SLW,LIC,57,8/7/2020 17:54,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,2.5,80,,7_1,f2t_length_mm,8
7,38.34948374,-121.5006649,SLW,LIC,57,8/7/2020 17:54,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,2.5,80,,7_2,f2t_length_mm,6
7,38.34948374,-121.5006649,SLW,LIC,57,8/7/2020 17:54,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,2.5,80,,7_3,f2t_length_mm,6
7,38.34948374,-121.5006649,SLW,LIC,57,8/7/2020 17:54,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,2.5,80,,7_4,f2t_length_mm,5
7,38.34948374,-121.5006649,SLW,LIC,57,8/7/2020 17:54,BT MK,5x5cm,mowed,41605,Swamp Timothy,high,2.5,80,,7_5,f2t_length_mm,7
8,38.34944154,-121.5006299,SLW,LIC,57,8/7/2020 18:00,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,64,,8_1,f2t_length_mm,6
8,38.34944154,-121.5006299,SLW,LIC,57,8/7/2020 18:00,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,64,,8_2,f2t_length_mm,5
8,38.34944154,-121.5006299,SLW,LIC,57,8/7/2020 18:00,MK,5x5cm,mowed,41605,Swamp Timothy,high,3,64,,8_3,f2t_length_mm,6
