GlobalID_VP,LIT,decimalLatitude,decimalLongitude,unitName,subunitName,eventDate,recordedBy,eventRemarks,areaVisible,taxonID,vernacularName,stratum,proportionVisibleArea
1,SLW,38.41667357,-121.4925947,Lewis 6,22,8/11/2020 15:02,BT MK,,0.167449459,502210,Watergrass,low,0.01
2,SLW,38.41796564,-121.4902445,Lewis 1,22,12/14/2020 21:02,Beatrix Treiterer,,46.2217865,NA,Other cover,NA,0.55
2,SLW,38.41796564,-121.4902445,Lewis 1,22,12/14/2020 21:02,Beatrix Treiterer,,46.2217865,41605,Swamp Timothy,low,0.05
2,SLW,38.41796564,-121.4902445,Lewis 1,22,12/14/2020 21:02,Beatrix Treiterer,,46.2217865,41605,Swamp Timothy,medium,0.05
2,SLW,38.41796564,-121.4902445,Lewis 1,22,12/14/2020 21:02,Beatrix Treiterer,,46.2217865,502210,Watergrass,low,0.25
3,SLW,38.41792375,-121.4938351,Lewis 1,22,8/11/2020 17:48,BT,,0.619515836,41605,Swamp Timothy,low,1
4,KRN,35.71934413,-119.6243578,4B,4B-1,8/25/2020 21:31,GG,,13.15330219,NA,Other cover,NA,0.25
4,KRN,35.71934413,-119.6243578,4B,4B-1,8/25/2020 21:31,GG,,13.15330219,41605,Swamp Timothy,high,0.4
4,KRN,35.71934413,-119.6243578,4B,4B-1,8/25/2020 21:31,GG,,13.15330219,41605,Swamp Timothy,low,0.2
4,KRN,35.71934413,-119.6243578,4B,4B-1,8/25/2020 21:31,GG,,13.15330219,41605,Swamp Timothy,medium,0.15
5,KRN,35.72198619,-119.6215645,4B,4B-1,8/25/2020 22:22,GG,,9.659970284,NA,Other cover,NA,0.45
5,KRN,35.72198619,-119.6215645,4B,4B-1,8/25/2020 22:22,GG,,9.659970284,41605,Swamp Timothy,high,0.1
5,KRN,35.72198619,-119.6215645,4B,4B-1,8/25/2020 22:22,GG,,9.659970284,41605,Swamp Timothy,low,0.25
5,KRN,35.72198619,-119.6215645,4B,4B-1,8/25/2020 22:22,GG,,9.659970284,41605,Swamp Timothy,medium,0.2
6,KRN,35.72225684,-119.6240251,4B,4B-1,8/25/2020 22:30,GG,,13.23623943,NA,Other cover,NA,0.35
6,KRN,35.72225684,-119.6240251,4B,4B-1,8/25/2020 22:30,GG,,13.23623943,41605,Swamp Timothy,high,0.3
6,KRN,35.72225684,-119.6240251,4B,4B-1,8/25/2020 22:30,GG,,13.23623943,41605,Swamp Timothy,low,0.2
6,KRN,35.72225684,-119.6240251,4B,4B-1,8/25/2020 22:30,GG,,13.23623943,41605,Swamp Timothy,medium,0.15
7,KRN,35.71919156,-119.6211014,4B,4B-1,8/25/2020 22:36,GG,,12.41369057,NA,Other cover,NA,0.65
7,KRN,35.71919156,-119.6211014,4B,4B-1,8/25/2020 22:36,GG,,12.41369057,41605,Swamp Timothy,high,0.2
7,KRN,35.71919156,-119.6211014,4B,4B-1,8/25/2020 22:36,GG,,12.41369057,41605,Swamp Timothy,low,0.1
7,KRN,35.71919156,-119.6211014,4B,4B-1,8/25/2020 22:36,GG,,12.41369057,41605,Swamp Timothy,medium,0.05
8,KRN,35.7193947,-119.6179396,4B,4B-2,8/25/2020 22:44,GG,,19.00609779,NA,Other cover,NA,0.5
8,KRN,35.7193947,-119.6179396,4B,4B-2,8/25/2020 22:44,GG,,19.00609779,41605,Swamp Timothy,high,0.15
8,KRN,35.7193947,-119.6179396,4B,4B-2,8/25/2020 22:44,GG,,19.00609779,41605,Swamp Timothy,low,0.1
8,KRN,35.7193947,-119.6179396,4B,4B-2,8/25/2020 22:44,GG,,19.00609779,41605,Swamp Timothy,medium,0.25
9,KRN,35.72163739,-119.6194861,4B,4B-2,8/25/2020 22:47,GG,,10.96933937,NA,Other cover,NA,0.65
9,KRN,35.72163739,-119.6194861,4B,4B-2,8/25/2020 22:47,GG,,10.96933937,41605,Swamp Timothy,high,0.15
9,KRN,35.72163739,-119.6194861,4B,4B-2,8/25/2020 22:47,GG,,10.96933937,41605,Swamp Timothy,low,0.05
9,KRN,35.72163739,-119.6194861,4B,4B-2,8/25/2020 22:47,GG,,10.96933937,41605,Swamp Timothy,medium,0.15
10,KRN,35.72265992,-119.6150552,4B,4B-3,8/25/2020 22:58,GG,4B-3,12.04162502,NA,Other cover,NA,0.05
10,KRN,35.72265992,-119.6150552,4B,4B-3,8/25/2020 22:58,GG,4B-3,12.04162502,41605,Swamp Timothy,high,0.6
10,KRN,35.72265992,-119.6150552,4B,4B-3,8/25/2020 22:58,GG,4B-3,12.04162502,41605,Swamp Timothy,medium,0.35
11,KRN,35.72320291,-119.6118034,4B,4B-3,8/25/2020 23:02,GG,4B-3,15.69094753,41605,Swamp Timothy,high,0.85
11,KRN,35.72320291,-119.6118034,4B,4B-3,8/25/2020 23:02,GG,4B-3,15.69094753,41605,Swamp Timothy,medium,0.15
12,KRN,35.72087989,-119.6151546,4B,4B-3,8/25/2020 23:07,GG,4B-2,8.360283852,NA,Other cover,NA,0.05
12,KRN,35.72087989,-119.6151546,4B,4B-3,8/25/2020 23:07,GG,4B-2,8.360283852,41605,Swamp Timothy,high,0.8
12,KRN,35.72087989,-119.6151546,4B,4B-3,8/25/2020 23:07,GG,4B-2,8.360283852,41605,Swamp Timothy,medium,0.15
13,PIX,35.91520911,-119.3842872,4,,8/26/2020 17:55,GG,,19.03543663,41605,Swamp Timothy,high,0.65
13,PIX,35.91520911,-119.3842872,4,,8/26/2020 17:55,GG,,19.03543663,41605,Swamp Timothy,low,0.05
13,PIX,35.91520911,-119.3842872,4,,8/26/2020 17:55,GG,,19.03543663,41605,Swamp Timothy,medium,0.25
13,PIX,35.91520911,-119.3842872,4,,8/26/2020 17:55,GG,,19.03543663,502210,Watergrass,low,0.025
13,PIX,35.91520911,-119.3842872,4,,8/26/2020 17:55,GG,,19.03543663,502210,Watergrass,medium,0.05
14,PIX,35.91864644,-119.3853383,4,,8/26/2020 18:03,GG,,21.54624176,41605,Swamp Timothy,high,0.7
